examQID,examQ Score1,examQ Score2,examQ Score3,examQ Score4
307,60,52,36,60
308,43,37,31,32
311,38,30,49,59
312,56,35,48,46
313,30,39,42,48
314,52,42,53,33
315,54,40,54,57
316,42,31,38,34
317,57,45,43,55
318,50,56,31,53
321,38,45,43,38
322,53,56,51,60
323,54,59,46,52
324,31,46,37,47
325,57,50,47,60
326,43,40,57,56
327,37,53,42,30
328,54,40,34,57
331,45,43,34,31
332,53,53,32,59
333,36,30,59,50
334,44,36,49,49
335,59,41,30,35
336,42,45,41,45
337,59,30,47,56
338,54,48,39,30
341,46,36,36,46
342,49,36,48,34
343,60,39,42,38
344,36,39,56,51
345,44,55,36,40
346,38,35,50,39
347,46,49,33,38
348,34,55,41,30
351,55,42,31,42
352,36,33,35,42
353,54,43,48,30
354,37,44,31,37
355,55,35,57,37
356,47,60,59,59
357,36,30,52,51
358,46,30,40,43
361,48,50,43,32
362,53,39,36,42
363,31,60,48,52
364,51,42,30,40
365,56,54,51,38
366,34,55,53,36
367,51,41,59,43
368,57,34,56,35
371,53,36,54,31
372,55,35,41,50
373,58,56,51,59
374,50,49,41,46
375,53,30,42,35
376,35,58,37,36
377,49,30,45,34
378,54,30,38,40
381,48,36,58,60
382,44,56,38,46
383,34,51,51,30
384,54,46,52,35
385,43,58,33,41
386,37,52,40,58
387,40,48,42,50
388,37,54,44,57
391,50,32,39,35
392,60,45,59,51
393,40,35,58,36
394,60,38,40,60
395,57,39,42,50
396,33,47,56,50
397,44,54,33,47
398,43,58,31,50
401,45,46,40,57
402,39,49,60,59
403,41,42,34,38
404,46,53,32,41
405,38,31,40,33
406,47,54,58,45
407,34,52,35,43
408,58,38,35,39
411,47,36,59,40
412,54,50,33,39
413,33,55,53,36
414,59,32,30,48
415,45,43,30,55
416,51,34,38,53
417,38,51,32,42
418,52,48,32,60
421,37,33,32,49
422,34,50,45,43
423,33,33,37,47
424,49,60,43,43
425,30,51,31,45
426,42,39,54,58
427,54,48,41,38
428,41,59,36,60
431,57,33,43,59
432,31,42,37,39
433,45,45,40,56
434,59,32,49,55
435,56,43,50,43
436,60,50,50,36
437,46,48,45,44
438,49,37,38,35
441,60,48,41,44
442,33,55,33,47
443,48,41,47,30
444,45,47,39,49
445,52,58,41,48
446,59,59,32,38
447,32,47,34,31
448,60,57,33,56
451,40,47,39,37
452,48,34,56,48
453,58,37,37,41
454,60,43,55,35
455,57,60,44,60
456,49,60,58,59
457,59,47,57,49
458,55,45,49,51
461,56,41,45,39
462,58,47,53,40
463,33,52,59,49
464,54,54,33,53
465,37,56,51,48
466,58,31,37,33
467,53,30,49,48
468,59,38,45,37
471,50,31,49,47
472,54,33,55,32
473,59,35,40,34
474,36,48,39,48
475,38,36,52,53
476,38,42,44,56
477,53,38,47,57
478,32,32,30,54
481,51,36,47,50
482,59,47,44,42
483,31,51,58,32
484,37,31,50,59
485,33,44,48,53
486,48,35,46,34
487,59,54,45,45
488,41,31,54,60
491,47,37,43,44
492,32,49,55,48
493,37,36,43,39
494,39,59,51,60
495,39,60,46,40
496,57,38,60,48
497,58,60,41,36
498,44,38,47,37
501,35,60,40,52
502,40,55,34,58
503,31,55,44,60
504,47,32,35,56
505,36,45,60,58
506,58,50,51,51
507,33,47,42,34
508,43,41,60,50
511,38,49,54,45
512,54,51,44,31
513,55,32,57,47
514,52,52,32,40
515,60,56,52,36
516,41,33,52,49
517,48,46,46,33
518,32,52,54,47
521,38,52,32,47
522,38,34,31,42
523,53,48,58,51
524,41,55,51,59
525,38,45,30,48
526,32,44,36,43
527,44,49,37,35
528,59,32,52,53
531,58,41,59,53
532,58,40,53,59
533,38,55,39,57
534,46,58,51,57
535,37,44,49,47
536,34,32,36,43
537,55,48,54,51
538,46,41,40,58
541,46,55,47,47
542,43,55,46,43
543,31,37,49,34
544,40,44,33,48
545,31,50,56,51
546,38,53,32,51
547,40,35,52,51
548,50,55,46,46
551,60,51,60,49
552,43,46,44,52
553,40,39,35,36
554,41,42,46,60
555,57,42,42,44
556,34,35,50,49
557,42,52,30,48
558,36,46,50,30
561,46,38,56,58
562,53,32,43,46
563,33,44,38,40
564,60,31,51,31
565,54,39,58,47
566,39,50,35,53
567,57,50,57,59
568,30,47,35,45
571,57,53,36,42
572,49,58,56,55
573,47,54,33,46
574,50,38,47,38
575,38,38,39,38
576,60,41,56,37
577,31,60,46,58
578,39,55,38,43
581,38,34,40,46
582,44,57,36,54
583,44,60,33,59
584,37,53,53,52
585,30,55,56,33
586,47,58,60,36
587,35,51,43,37
588,44,49,40,57
591,60,44,59,60
592,42,42,58,34
593,58,47,56,38
594,37,51,59,41
595,40,50,34,30
596,43,56,47,57
597,53,48,32,35
598,44,42,54,50
601,50,41,33,60
602,33,32,43,58
603,40,46,30,39
604,60,41,43,30
605,56,36,37,42
606,35,59,32,36
607,37,57,33,47
608,50,35,39,52
611,60,49,56,32
612,58,47,58,54
613,35,58,31,39
614,54,48,36,32
615,32,30,47,32
616,30,60,40,44
617,55,40,39,31
618,49,32,51,52
621,54,48,38,43
622,57,42,33,36
623,50,34,34,55
624,44,59,53,37
625,40,56,50,31
626,52,53,51,48
627,31,37,51,41
628,47,45,50,33
631,35,56,33,38
632,41,46,33,34
633,36,32,54,50
634,51,32,42,58
635,31,57,41,33
636,53,48,33,33
637,34,41,30,33
638,36,41,50,60
641,56,55,60,43
642,48,37,43,50
643,41,34,40,47
644,38,37,41,32
645,48,40,33,46
646,35,50,58,45
647,37,55,42,40
648,47,31,55,48
651,59,41,58,58
652,42,58,33,39
653,46,60,47,59
654,49,32,39,37
655,32,38,33,54
656,44,57,43,47
657,33,33,34,59
658,38,54,48,38
661,36,52,52,31
662,56,42,50,55
663,54,42,56,46
664,56,30,44,43
665,33,35,42,55
666,44,58,50,47
667,48,54,54,42
668,45,43,37,53
671,39,53,49,41
672,34,46,50,35
673,59,54,31,37
674,50,47,49,51
675,30,57,37,57
676,48,42,56,40
677,46,48,44,43
678,42,52,40,53
681,39,50,30,30
682,56,30,36,31
683,52,35,37,53
684,48,55,56,47
685,41,45,59,60
686,42,43,44,60
687,31,58,46,47
688,57,52,47,36
691,36,32,32,56
692,31,53,47,41
693,41,53,54,47
694,52,35,43,47
695,42,43,40,49
696,38,51,56,50
697,52,44,46,58
698,34,47,39,39
701,46,32,42,41
702,30,58,50,32
703,36,56,40,55
704,54,50,47,60
705,60,57,49,40
706,54,51,58,51
707,45,48,46,42
708,42,48,32,55
711,31,33,36,43
712,58,44,44,57
713,49,40,38,38
714,30,48,41,31
715,44,57,44,43
716,38,54,43,59
717,42,51,45,48
718,47,52,33,41
721,47,57,55,34
722,48,45,58,39
723,58,60,52,55
724,39,48,56,36
725,51,34,45,44
726,37,58,31,41
727,36,48,44,58
728,33,37,54,60
731,46,60,58,48
732,60,41,32,33
733,59,44,44,56
734,40,39,58,38
735,41,32,49,52
736,56,54,56,42
737,56,41,34,55
738,50,37,42,50
741,42,52,48,60
742,34,51,43,35
743,44,56,35,58
744,48,43,41,56
745,36,46,39,39
746,53,46,50,31
747,50,39,31,32
748,60,35,32,49
751,41,47,34,56
752,32,38,59,54
753,33,42,58,34
754,60,56,39,35
755,40,40,49,32
756,53,46,46,40
757,32,34,35,35
758,55,45,39,52
761,40,58,47,53
762,38,40,40,45
763,40,33,44,58
764,44,58,31,51
765,36,52,41,31
766,49,53,43,53
767,54,37,52,55
768,30,30,52,50
771,58,42,52,54
772,45,38,35,57
773,48,57,30,39
774,46,32,51,56
775,54,51,40,47
776,34,59,44,32
777,59,51,30,42
778,36,36,31,55
781,44,41,58,48
782,59,45,57,33
783,52,34,57,56
784,32,48,31,58
785,36,32,36,34
786,43,39,59,35
787,39,33,53,39
788,60,31,51,41
791,40,40,48,50
792,30,31,30,50
793,40,39,32,37
794,32,38,46,45
795,60,45,31,31
796,41,53,44,33
797,44,53,37,51
798,31,48,33,44
801,48,41,31,44
802,33,47,53,32
803,38,34,47,58
804,39,60,42,37
805,33,45,35,33
806,50,45,50,44
807,35,31,58,55
808,30,59,37,42
811,34,60,42,42
812,34,42,58,32
813,38,37,51,37
814,55,39,56,41
815,39,37,34,45
816,52,48,48,33
817,32,41,60,32
818,38,33,35,53
821,47,56,36,37
822,49,59,44,44
823,49,45,55,42
824,47,37,42,52
825,54,54,45,30
826,55,39,40,42
827,45,35,58,43
828,31,36,60,41
831,54,56,53,48
832,47,59,57,41
833,50,55,59,55
834,42,43,41,41
835,34,48,40,53
836,36,51,46,48
837,41,31,42,41
838,60,40,57,58
841,36,42,54,53
842,43,40,31,31
843,59,45,55,37
844,32,55,56,47
845,34,40,39,43
846,31,59,52,45
847,59,31,44,60
848,46,52,38,35
851,44,40,30,33
852,32,34,47,31
853,47,57,48,30
854,46,33,31,50
855,56,37,36,38
856,39,45,43,43
857,40,60,31,31
858,48,56,57,43
861,35,37,33,58
862,51,42,40,42
863,51,45,43,50
864,53,51,34,48
865,38,30,38,50
866,42,48,57,49
867,58,57,42,31
868,52,37,39,36
871,55,50,35,56
872,50,54,45,33
873,33,46,30,37
874,37,60,52,51
875,41,45,42,31
876,56,38,36,43
877,55,56,34,39
878,39,34,47,39
881,41,39,50,53
882,42,45,46,41
883,41,39,53,48
884,54,43,32,51
885,52,49,58,53
886,58,55,42,47
887,60,33,34,46
888,32,54,47,55
891,54,31,58,41
892,51,59,49,41
893,32,49,37,42
894,42,57,59,33
895,33,30,34,50
896,33,55,40,43
897,46,51,47,55
898,50,59,48,53
901,39,48,31,51
902,45,45,60,56
903,44,59,56,40
904,36,45,43,46
905,37,47,50,54
906,46,59,39,49
907,34,39,47,49
908,31,51,56,42
911,45,45,39,55
912,33,35,54,38
913,55,43,47,56
914,43,37,58,46
915,36,37,32,50
916,44,46,34,43
917,54,43,46,58
918,41,57,51,34
921,56,35,30,44
922,31,54,50,55
923,55,59,31,31
924,49,60,43,31
925,50,43,57,52
926,30,42,60,35
927,51,57,41,39
928,60,54,35,36
931,47,30,43,54
932,43,54,53,48
933,53,54,48,59
934,55,52,46,58
935,52,59,50,52
936,40,49,53,45
937,34,48,48,40
938,38,31,34,50
941,52,55,38,52
942,45,44,57,60
943,48,58,51,40
944,42,36,45,36
945,31,30,51,57
946,34,52,58,58
947,53,54,36,45
948,50,43,57,56
951,56,57,50,54
952,41,46,32,58
953,57,47,53,30
954,48,57,34,37
955,43,33,41,54
956,54,59,39,48
957,60,38,55,44
958,46,43,43,30
961,31,48,60,44
962,50,50,47,49
963,42,41,40,47
964,41,54,35,36
965,44,41,32,50
966,52,55,35,48
967,36,54,55,37
968,60,47,60,33
971,33,34,49,60
972,39,53,34,37
973,45,40,39,50
974,30,54,58,58
975,37,45,59,45
976,41,44,34,38
977,38,45,42,35
978,36,37,45,55
981,41,43,53,47
982,57,45,60,51
983,37,31,37,55
984,56,44,31,38
985,51,52,52,57
986,35,46,55,49
987,41,38,31,41
988,41,41,56,45
991,52,55,37,43
992,41,57,54,54
993,50,32,42,38
994,42,36,41,35
995,55,50,32,47
996,55,39,50,41
997,51,40,50,33
998,57,40,48,49
1001,41,50,55,35
1002,36,50,59,52
1003,50,52,42,51
1004,58,48,47,43
1005,32,45,54,31
1006,48,44,57,30
1007,55,55,33,55
1008,53,44,60,45
1011,43,55,47,52
1012,54,55,42,54
1013,43,32,30,52
1014,51,39,48,43
1015,41,53,33,56
1016,32,31,34,41
1017,60,60,30,44
1018,38,39,43,42
1021,30,33,41,46
1022,40,49,58,50
1023,45,42,49,34
1024,43,35,35,43
1025,50,38,53,30
1026,35,46,43,34
1027,43,48,39,32
1028,45,46,48,47
1031,45,34,35,41
1032,47,51,51,36
1033,49,55,57,48
1034,48,34,54,38
1035,56,39,30,33
1036,36,54,32,60
1037,55,59,35,32
1038,43,54,59,33
1041,51,55,47,54
1042,32,42,51,58
1043,60,50,52,55
1044,35,45,36,48
1045,44,49,53,51
1046,59,54,32,50
1047,39,52,40,54
1048,58,42,34,43
1051,57,30,32,50
1052,48,40,50,47
1053,37,36,51,51
1054,35,55,38,48
1055,60,35,56,50
1056,41,46,58,60
1057,37,52,33,33
1058,43,45,57,42
1061,58,44,38,46
1062,48,33,41,58
1063,41,57,44,55
1064,49,43,49,47
1065,34,33,59,57
1066,50,60,43,47
1067,32,55,58,54
1068,55,45,59,31
1071,43,51,59,41
1072,58,46,34,45
1073,43,57,60,41
1074,33,31,46,48
1075,48,40,31,31
1076,56,33,50,31
1077,46,51,38,55
1078,40,56,33,60
1081,58,40,43,45
1082,32,39,44,33
1083,36,34,43,42
1084,34,45,58,39
1085,50,54,40,31
1086,56,43,37,30
1087,57,53,49,41
1088,57,58,51,49
1091,32,57,49,50
1092,56,58,48,38
1093,37,45,43,42
1094,48,52,49,38
1095,48,51,49,38
1096,52,54,42,45
1097,57,45,47,51
1098,53,55,38,55
1101,41,58,49,59
1102,33,45,60,52
1103,54,38,49,51
1104,47,33,45,31
1105,59,37,32,32
1106,39,56,44,41
1107,36,33,34,57
1108,47,41,37,37
1111,51,48,39,47
1112,54,34,48,51
1113,53,56,58,38
1114,58,43,60,58
1115,34,44,43,41
1116,49,48,43,40
1117,54,38,38,42
1118,31,38,57,59
1121,36,52,42,53
1122,53,38,46,32
1123,49,35,43,58
1124,42,45,57,55
1125,54,40,57,33
1126,55,54,46,53
1127,59,41,43,50
1128,38,54,56,41
1131,55,32,56,57
1132,56,44,60,57
1133,52,35,35,54
1134,56,60,59,38
1135,40,38,41,50
1136,53,60,43,51
1137,40,42,55,37
1138,30,39,56,30
1141,40,50,43,55
1142,52,36,57,34
1143,41,36,31,34
1144,56,39,56,49
1145,33,59,41,58
1146,53,55,32,60
1147,32,39,57,52
1148,35,52,31,30
1151,54,41,52,51
1152,44,42,38,50
1153,41,36,58,32
1154,38,56,47,31
1155,34,34,55,45
1156,45,52,38,57
1157,45,45,38,50
1158,56,52,35,47
1161,56,46,35,41
1162,48,48,45,53
1163,60,54,48,39
1164,42,49,52,47
1165,38,51,47,52
1166,47,30,58,47
1167,49,54,30,52
1168,50,39,41,30
1171,51,60,56,53
1172,35,39,60,41
1173,60,36,41,57
1174,57,31,50,60
1175,46,58,47,37
1176,39,59,34,52
1177,53,51,38,44
1178,44,49,44,48
1181,44,49,32,38
1182,58,47,55,54
1183,42,37,32,59
1184,55,33,58,58
1185,37,56,30,60
1186,33,60,38,42
1187,39,31,44,54
1188,54,43,38,59
1191,49,54,33,35
1192,41,51,37,30
1193,40,44,40,46
1194,38,50,46,46
1195,55,42,37,32
1196,52,31,51,33
1197,41,57,49,44
1198,44,46,36,55
1201,30,31,46,50
1202,33,42,38,46
1203,53,58,51,37
1204,45,35,54,55
1205,55,45,53,43
1206,36,55,47,39
1207,45,51,52,36
1208,55,34,31,46
1211,57,60,35,44
1212,47,40,39,37
1213,34,37,50,36
1214,35,42,31,42
1215,37,39,55,42
1216,46,56,51,36
1217,39,52,59,58
1218,55,56,48,39
1221,39,33,40,32
1222,58,46,42,42
1223,30,50,57,55
1224,30,32,60,44
1225,54,32,48,50
1226,54,53,53,59
1227,50,52,49,40
1228,56,45,52,47
1231,49,55,33,57
1232,58,30,41,53
1233,36,42,30,37
1234,56,40,54,45
1235,46,44,45,34
1236,60,40,48,58
1237,41,49,49,46
1238,46,45,57,36
1241,40,37,48,45
1242,32,32,45,37
1243,33,36,54,44
1244,51,53,48,57
1245,32,58,43,59
1246,56,34,42,44
1247,41,58,44,56
1248,34,36,31,42
1251,49,49,54,55
1252,56,49,31,44
1253,41,37,36,41
1254,46,49,51,31
1255,30,54,36,48
1256,30,31,46,56
1257,36,58,53,34
1258,49,40,45,33
1261,50,53,33,55
1262,38,30,53,43
1263,31,38,57,59
1264,46,43,35,35
1265,60,37,53,56
1266,33,47,54,35
1267,56,31,53,34
1268,36,53,33,31
1271,53,57,41,35
1272,38,30,37,32
1273,60,37,41,56
1274,38,49,31,32
1275,41,38,30,56
1276,54,40,45,32
1277,47,58,35,54
1278,52,32,41,36
1281,52,38,39,58
1282,52,54,45,33
1283,51,43,57,38
1284,49,33,40,33
1285,53,48,44,42
1286,44,42,50,57
1287,45,50,60,55
1288,35,48,56,37
1291,54,31,48,40
1292,36,49,53,36
1293,37,43,45,58
1294,43,57,37,55
1295,44,60,54,51
1296,30,41,49,60
1297,36,47,47,41
1298,51,53,39,33
1301,49,53,35,58
1302,34,57,55,46
1303,52,47,38,44
1304,47,37,48,40
1305,55,44,44,33
1306,53,56,51,39
1307,40,45,32,34
1308,37,55,54,43
1311,35,44,37,35
1312,33,56,58,36
1313,38,34,31,47
1314,49,35,46,37
1315,59,39,43,59
1316,45,35,30,57
1317,49,53,41,58
1318,55,59,57,53
1321,56,33,54,39
1322,35,34,44,33
1323,55,46,55,48
1324,49,49,36,59
1325,52,37,44,56
1326,32,46,58,36
1327,41,43,34,51
1328,55,40,36,43
1331,55,35,53,46
1332,49,41,40,58
1333,38,55,58,33
1334,49,43,35,46
1335,51,52,53,47
1336,35,59,35,47
1337,32,30,55,40
1338,54,37,50,50
1341,60,40,37,55
1342,47,60,43,51
1343,53,55,55,36
1344,39,31,41,55
1345,44,55,48,48
1346,44,60,57,37
1347,45,48,50,37
1348,44,31,31,52
1351,44,33,37,40
1352,32,55,37,60
1353,39,30,52,54
1354,48,52,51,54
1355,60,37,48,31
1356,35,39,57,34
1357,48,50,31,47
1358,31,60,39,35
1361,59,42,51,60
1362,46,34,45,56
1363,59,45,49,56
1364,30,58,60,58
1365,60,43,42,57
1366,50,37,36,58
1367,46,51,40,35
1368,53,33,51,44
1371,55,37,59,50
1372,54,47,57,31
1373,40,45,52,36
1374,54,47,50,34
1375,46,32,31,34
1376,46,43,48,38
1377,34,33,59,51
1378,37,54,41,51
1381,57,46,51,43
1382,40,46,49,51
1383,50,59,45,46
1384,48,43,31,56
1385,45,49,53,36
1386,48,56,52,47
1387,31,40,35,40
1388,57,51,59,31
1391,47,50,35,33
1392,52,32,40,38
1393,38,58,48,46
1394,42,49,34,36
1395,55,34,51,60
1396,55,38,51,55
1397,53,47,31,47
1398,45,54,33,37
1401,42,34,49,33
1402,50,52,46,41
1403,34,44,37,49
1404,48,44,34,34
1405,46,57,44,41
1406,52,51,54,32
1407,46,39,54,45
1408,38,34,45,49
1411,48,57,56,36
1412,31,55,44,42
1413,35,54,37,54
1414,48,59,46,37
1415,57,31,60,59
1416,60,31,34,49
1417,42,51,34,47
1418,51,58,59,49
1421,58,46,42,33
1422,59,60,34,30
1423,51,49,49,33
1424,57,47,46,56
1425,49,45,57,47
1426,40,34,36,60
1427,38,39,44,47
1428,44,34,32,49
1431,56,55,38,59
1432,35,46,38,35
1433,40,34,38,32
1434,36,36,33,35
1435,52,44,45,43
1436,49,57,45,32
1437,60,52,60,47
1438,33,48,30,49
1441,44,57,41,47
1442,54,57,43,32
1443,32,31,36,42
1444,36,39,59,46
1445,31,47,57,49
1446,59,47,51,58
1447,43,51,53,43
1448,50,31,54,33
1451,50,51,48,46
1452,44,40,53,56
1453,51,38,47,36
1454,41,50,31,35
1455,40,41,49,55
1456,30,59,51,48
1457,34,50,52,47
1458,33,30,54,34
1461,50,46,57,34
1462,47,38,52,39
1463,50,53,53,33
1464,47,40,60,45
1465,30,30,52,56
1466,55,43,41,43
1467,40,53,43,35
1468,52,41,48,53
1471,44,36,56,31
1472,31,44,36,48
1473,43,31,40,58
1474,43,50,59,56
1475,51,54,50,59
1476,48,49,52,55
1477,49,50,54,53
1478,34,57,50,35
1481,35,30,41,30
1482,45,57,31,47
1483,51,51,31,36
1484,57,49,52,36
1485,32,40,56,52
1486,39,56,53,41
1487,35,34,44,37
1488,56,60,30,52
1491,35,52,59,39
1492,53,31,52,31
1493,38,46,53,48
1494,53,55,39,30
1495,58,30,45,52
1496,60,45,34,60
1497,30,41,54,58
1498,38,42,38,60
1501,31,46,37,53
1502,57,42,45,34
1503,52,34,47,59
1504,39,56,47,30
1505,31,43,51,51
1506,52,30,39,32
1507,39,59,43,60
1508,41,33,54,41
1511,42,38,60,35
1512,32,45,32,41
1513,42,45,42,51
1514,47,33,46,34
1515,59,51,52,50
1516,57,37,31,33
1517,34,57,43,47
1518,58,45,37,44
1521,30,54,44,39
1522,44,42,35,50
1523,50,35,49,37
1524,37,53,37,56
1525,36,41,58,54
1526,58,43,33,34
1527,32,36,41,37
1528,38,39,39,32
1531,56,43,45,43
1532,30,40,34,57
1533,56,42,30,52
1534,57,60,40,44
1535,45,39,31,40
1536,44,45,49,50
1537,39,50,33,41
1538,54,30,39,30
1541,54,57,55,43
1542,43,40,58,46
1543,60,30,32,30
1544,42,53,55,44
1545,38,43,49,59
1546,36,40,34,56
1547,39,60,57,33
1548,37,42,54,30
1551,53,47,37,47
1552,60,59,44,50
1553,32,56,52,39
1554,40,50,47,53
1555,47,42,38,40
1556,43,52,52,53
1557,42,53,31,41
1558,58,53,55,39
1561,37,52,50,33
1562,52,54,48,53
1563,42,40,45,33
1564,35,47,58,39
1565,34,55,47,39
1566,60,50,52,47
1567,59,38,38,44
1568,32,38,50,38
1571,39,35,49,50
1572,42,45,38,60
1573,49,48,40,47
1574,44,44,52,55
1575,57,42,55,45
1576,47,39,57,51
1577,32,56,54,58
1578,57,55,35,37
1581,31,55,50,46
1582,34,34,37,60
1583,41,37,58,37
1584,56,47,60,44
1585,46,51,51,46
1586,57,30,54,57
1587,52,40,50,38
1588,44,31,44,48
1591,49,47,31,59
1592,54,44,42,31
1593,38,31,52,41
1594,36,44,44,41
1595,60,44,46,34
1596,52,38,40,46
1597,37,36,43,38
1598,50,45,31,40
1601,51,37,54,30
1602,32,48,50,52
1603,50,48,45,56
1604,52,44,52,58
1605,55,42,54,60
1606,46,39,47,50
1607,42,53,46,55
1608,34,32,36,60
1611,51,37,43,52
1612,34,34,40,30
1613,36,58,38,57
1614,31,46,49,42
1615,58,42,34,43
1616,42,30,34,39
1617,41,31,32,49
1618,45,49,55,37
1621,32,44,30,32
1622,36,34,31,33
1623,57,36,51,32
1624,35,31,32,46
1625,58,38,57,55
1626,58,36,58,36
1627,30,46,56,45
1628,47,44,53,34
1631,57,59,37,32
1632,55,36,43,54
1633,58,45,37,49
1634,53,54,48,31
1635,45,57,37,42
1636,44,50,53,56
1637,50,34,39,47
1638,36,33,30,32
1641,55,60,34,53
1642,45,58,33,57
1643,56,53,53,35
1644,37,49,49,55
1645,49,52,39,40
1646,57,52,40,41
1647,38,35,36,60
1648,38,55,41,51
1651,32,53,56,40
1652,31,38,42,49
1653,31,43,47,34
1654,36,36,57,38
1655,43,39,39,59
1656,33,54,52,51
1657,47,59,50,37
1658,51,48,48,43
1661,57,54,60,51
1662,55,43,37,32
1663,44,31,48,60
1664,32,58,34,41
1665,45,48,33,38
1666,44,51,47,45
1667,37,52,39,38
1668,54,47,51,38
1671,49,46,44,43
1672,52,32,56,60
1673,51,41,38,37
1674,49,56,46,36
1675,40,41,56,32
1676,38,38,34,44
1677,38,45,47,37
1678,51,30,53,37
1681,49,42,41,31
1682,58,46,32,49
1683,49,59,42,50
1684,60,57,46,51
1685,50,37,53,58
1686,60,48,35,47
1687,41,43,36,34
1688,40,31,31,51
1691,34,47,43,45
1692,48,55,54,30
1693,56,47,37,43
1694,44,52,33,30
1695,57,51,34,53
1696,60,37,35,36
1697,54,57,47,40
1698,32,55,56,59
1701,41,59,59,30
1702,33,46,45,55
1703,46,50,33,60
1704,60,39,58,55
1705,45,42,49,36
1706,37,32,45,47
1707,45,52,54,30
1708,30,40,41,30
1711,32,33,43,54
1712,43,41,43,47
1713,32,51,38,43
1714,50,54,58,58
1715,44,46,57,41
1716,53,36,36,42
1717,37,43,48,58
1718,60,58,58,44
1721,32,32,35,48
1722,56,45,45,43
1723,31,45,51,44
1724,42,41,46,46
1725,56,49,48,55
1726,57,58,32,46
1727,47,46,47,36
1728,45,39,36,31
1731,33,30,53,57
1732,42,36,30,51
1733,48,32,45,41
1734,37,31,57,46
1735,60,35,58,38
1736,51,45,38,40
1737,36,40,58,51
1738,54,43,40,59
1741,35,37,55,41
1742,58,60,47,46
1743,40,59,43,46
1744,54,47,40,55
1745,60,33,33,54
1746,60,47,33,34
1747,49,47,35,45
1748,53,42,48,60
1751,45,47,44,57
1752,36,35,38,30
1753,59,50,49,43
1754,59,57,48,31
1755,33,49,42,39
1756,51,44,33,40
1757,32,60,52,53
1758,31,41,40,58
1761,54,51,55,41
1762,46,34,47,53
1763,58,50,53,37
1764,42,43,55,52
1765,43,50,60,44
1766,60,57,40,46
1767,59,34,38,40
1768,38,43,60,59
1771,42,50,58,48
1772,41,37,32,37
1773,41,50,35,37
