remedialID,previousQscore,remedialScore,examName
87,1,56, 1st Quarter Exam 
88,21,47, 2nd Quarter Exam 
89,26,43, 4th Quarter Exam 
90,7,33, 1st Quarter Exam 
91,3,53, 3rd Quarter Exam 
92,9,49, 4th Quarter Exam 
93,22,47, 3rd Quarter Exam 
94,16,50, 1st Quarter Exam 
95,21,55, 4th Quarter Exam 
96,11,49, 2nd Quarter Exam 
97,15,44, 4th Quarter Exam 
98,5,32, 2nd Quarter Exam 
99,3,38, 2nd Quarter Exam 
100,27,32, 3rd Quarter Exam 
101,16,46, 1st Quarter Exam 
102,13,42, 4th Quarter Exam 
103,9,31, 2nd Quarter Exam 
104,5,55, 1st Quarter Exam 
105,19,60, 4th Quarter Exam 
106,12,44, 1st Quarter Exam 
107,7,32, 2nd Quarter Exam 
108,29,33, 3rd Quarter Exam 
109,13,31, 2nd Quarter Exam 
110,13,49, 4th Quarter Exam 
111,26,52, 4th Quarter Exam 
112,2,39, 4th Quarter Exam 
113,2,48, 1st Quarter Exam 
114,17,46, 3rd Quarter Exam 
115,19,45, 1st Quarter Exam 
116,24,38, 2nd Quarter Exam 
117,29,32, 3rd Quarter Exam 
118,5,45, 2nd Quarter Exam 
119,8,45, 3rd Quarter Exam 
120,29,50, 1st Quarter Exam 
121,6,57, 4th Quarter Exam 
122,28,50, 2nd Quarter Exam 
123,2,47, 4th Quarter Exam 
124,6,43, 1st Quarter Exam 
125,17,43, 4th Quarter Exam 
126,3,48, 3rd Quarter Exam 
127,21,37, 4th Quarter Exam 
128,12,35, 3rd Quarter Exam 
129,29,35, 3rd Quarter Exam 
130,3,32, 2nd Quarter Exam 
131,11,35, 3rd Quarter Exam 
132,10,41, 1st Quarter Exam 
133,15,53, 3rd Quarter Exam 
134,28,48, 4th Quarter Exam 
135,18,50, 4th Quarter Exam 
136,25,36, 1st Quarter Exam 
137,13,55, 2nd Quarter Exam 
138,10,53, 1st Quarter Exam 
139,12,45, 3rd Quarter Exam 
140,22,45, 2nd Quarter Exam 
141,12,47, 1st Quarter Exam 
142,10,57, 2nd Quarter Exam 
143,6,48, 4th Quarter Exam 
144,16,36, 2nd Quarter Exam 
145,11,30, 2nd Quarter Exam 
146,6,60, 3rd Quarter Exam 
147,8,59, 2nd Quarter Exam 
148,24,31, 1st Quarter Exam 
149,11,58, 3rd Quarter Exam 
150,17,40, 2nd Quarter Exam 
151,23,43, 2nd Quarter Exam 
152,28,32, 1st Quarter Exam 
153,2,39, 4th Quarter Exam 
154,7,54, 2nd Quarter Exam 
155,28,42, 1st Quarter Exam 
156,6,41, 1st Quarter Exam 
157,29,33, 2nd Quarter Exam 
158,24,49, 4th Quarter Exam 
159,6,55, 1st Quarter Exam 
160,4,47, 2nd Quarter Exam 
161,21,54, 2nd Quarter Exam 
162,4,31, 2nd Quarter Exam 
163,4,42, 4th Quarter Exam 
164,9,45, 1st Quarter Exam 
165,24,56, 2nd Quarter Exam 
166,18,55, 3rd Quarter Exam 
167,11,55, 3rd Quarter Exam 
168,26,43, 2nd Quarter Exam 
169,7,56, 4th Quarter Exam 
170,1,40, 4th Quarter Exam 
171,4,56, 4th Quarter Exam 
172,11,57, 2nd Quarter Exam 
173,23,49, 1st Quarter Exam 
174,16,54, 2nd Quarter Exam 
175,16,32, 1st Quarter Exam 
176,2,42, 3rd Quarter Exam 
177,15,48, 3rd Quarter Exam 
178,14,58, 1st Quarter Exam 
179,27,60, 3rd Quarter Exam 
180,1,47, 2nd Quarter Exam 
181,10,60, 3rd Quarter Exam 
182,5,43, 3rd Quarter Exam 
183,12,59, 4th Quarter Exam 
184,13,49, 4th Quarter Exam 
185,29,38, 1st Quarter Exam 
186,16,30, 3rd Quarter Exam 
187,12,36, 2nd Quarter Exam 
188,6,43, 2nd Quarter Exam 
189,28,51, 3rd Quarter Exam 
190,15,34, 3rd Quarter Exam 
191,10,59, 2nd Quarter Exam 
192,16,33, 4th Quarter Exam 
193,8,57, 2nd Quarter Exam 
194,26,37, 3rd Quarter Exam 
195,7,59, 1st Quarter Exam 
196,28,35, 3rd Quarter Exam 
197,4,38, 4th Quarter Exam 
198,9,30, 3rd Quarter Exam 
199,14,38, 2nd Quarter Exam 
200,24,43, 2nd Quarter Exam 
201,15,47, 3rd Quarter Exam 
202,22,51, 1st Quarter Exam 
203,14,37, 2nd Quarter Exam 
204,10,53, 1st Quarter Exam 
205,1,39, 4th Quarter Exam 
206,19,32, 4th Quarter Exam 
207,28,57, 2nd Quarter Exam 
208,23,33, 1st Quarter Exam 
209,22,32, 1st Quarter Exam 
210,27,38, 2nd Quarter Exam 
211,15,54, 1st Quarter Exam 
212,27,59, 2nd Quarter Exam 
213,16,57, 4th Quarter Exam 
214,10,45, 3rd Quarter Exam 
215,16,39, 3rd Quarter Exam 
216,1,35, 1st Quarter Exam 
217,3,59, 1st Quarter Exam 
218,7,50, 3rd Quarter Exam 
219,2,54, 3rd Quarter Exam 
220,1,53, 2nd Quarter Exam 
221,20,45, 1st Quarter Exam 
222,19,41, 4th Quarter Exam 
223,6,48, 3rd Quarter Exam 
224,2,47, 3rd Quarter Exam 
225,0,53, 1st Quarter Exam 
226,8,30, 2nd Quarter Exam 
227,12,55, 3rd Quarter Exam 
228,26,49, 3rd Quarter Exam 
229,16,46, 3rd Quarter Exam 
230,20,54, 2nd Quarter Exam 
231,2,45, 1st Quarter Exam 
232,15,50, 1st Quarter Exam 
233,28,55, 1st Quarter Exam 
234,13,37, 4th Quarter Exam 
235,29,50, 3rd Quarter Exam 
236,25,45, 2nd Quarter Exam 
237,23,52, 4th Quarter Exam 
238,23,54, 4th Quarter Exam 
239,26,39, 3rd Quarter Exam 
240,10,53, 2nd Quarter Exam 
241,14,52, 3rd Quarter Exam 
242,0,44, 4th Quarter Exam 
243,15,43, 3rd Quarter Exam 
244,19,60, 4th Quarter Exam 
245,27,49, 1st Quarter Exam 
246,6,30, 1st Quarter Exam 
247,9,57, 3rd Quarter Exam 
248,22,40, 1st Quarter Exam 
249,10,30, 2nd Quarter Exam 
250,10,52, 2nd Quarter Exam 
251,11,34, 1st Quarter Exam 
252,29,51, 1st Quarter Exam 
253,27,56, 3rd Quarter Exam 
254,25,33, 4th Quarter Exam 
255,29,42, 4th Quarter Exam 
256,19,30, 1st Quarter Exam 
257,16,35, 1st Quarter Exam 
258,1,52, 4th Quarter Exam 
259,26,49, 4th Quarter Exam 
260,6,32, 2nd Quarter Exam 
261,25,31, 2nd Quarter Exam 
262,6,32, 3rd Quarter Exam 
263,13,53, 4th Quarter Exam 
264,13,38, 1st Quarter Exam 
265,1,35, 4th Quarter Exam 
266,24,51, 1st Quarter Exam 
267,9,36, 1st Quarter Exam 
268,3,41, 1st Quarter Exam 
269,19,59, 4th Quarter Exam 
270,15,55, 3rd Quarter Exam 
271,12,42, 1st Quarter Exam 
272,5,50, 1st Quarter Exam 
273,19,59, 1st Quarter Exam 
274,6,31, 1st Quarter Exam 
275,10,57, 1st Quarter Exam 
276,26,39, 3rd Quarter Exam 
277,25,39, 2nd Quarter Exam 
278,19,35, 1st Quarter Exam 
279,24,60, 2nd Quarter Exam 
280,23,37, 2nd Quarter Exam 
281,0,55, 4th Quarter Exam 
282,20,57, 2nd Quarter Exam 
283,18,44, 3rd Quarter Exam 
284,24,32, 1st Quarter Exam 
285,24,46, 1st Quarter Exam 
286,3,57, 2nd Quarter Exam 
287,13,41, 2nd Quarter Exam 
288,0,47, 2nd Quarter Exam 
289,0,30, 1st Quarter Exam 
290,11,46, 4th Quarter Exam 
291,29,40, 3rd Quarter Exam 
292,13,46, 3rd Quarter Exam 
293,5,36, 1st Quarter Exam 
294,26,42, 2nd Quarter Exam 
295,17,31, 4th Quarter Exam 
296,9,45, 4th Quarter Exam 
297,6,42, 4th Quarter Exam 
298,10,41, 1st Quarter Exam 
299,28,52, 3rd Quarter Exam 
300,27,53, 3rd Quarter Exam 
301,7,59, 4th Quarter Exam 
302,18,32, 4th Quarter Exam 
303,23,48, 2nd Quarter Exam 
304,11,56, 3rd Quarter Exam 
305,9,39, 3rd Quarter Exam 
306,27,33, 4th Quarter Exam 
307,26,38, 3rd Quarter Exam 
308,2,32, 2nd Quarter Exam 
309,7,30, 3rd Quarter Exam 
310,3,58, 3rd Quarter Exam 
311,3,41, 2nd Quarter Exam 
312,24,57, 2nd Quarter Exam 
313,0,30, 1st Quarter Exam 
314,7,53, 1st Quarter Exam 
315,18,37, 2nd Quarter Exam 
316,13,39, 4th Quarter Exam 
317,11,37, 3rd Quarter Exam 
318,21,45, 2nd Quarter Exam 
319,21,53, 3rd Quarter Exam 
320,22,35, 4th Quarter Exam 
321,13,31, 2nd Quarter Exam 
322,2,34, 2nd Quarter Exam 
323,8,45, 1st Quarter Exam 
324,13,34, 3rd Quarter Exam 
325,20,40, 1st Quarter Exam 
326,16,43, 4th Quarter Exam 
327,20,51, 4th Quarter Exam 
328,25,60, 1st Quarter Exam 
329,8,53, 3rd Quarter Exam 
330,3,59, 2nd Quarter Exam 
331,12,51, 2nd Quarter Exam 
332,0,51, 3rd Quarter Exam 
333,3,46, 1st Quarter Exam 
334,3,31, 3rd Quarter Exam 
335,24,53, 4th Quarter Exam 
336,22,37, 2nd Quarter Exam 
337,10,47, 2nd Quarter Exam 
338,27,34, 2nd Quarter Exam 
339,26,46, 1st Quarter Exam 
340,4,46, 2nd Quarter Exam 
341,28,31, 1st Quarter Exam 
342,9,56, 4th Quarter Exam 
343,2,40, 2nd Quarter Exam 
344,12,57, 1st Quarter Exam 
345,1,51, 3rd Quarter Exam 
346,4,57, 2nd Quarter Exam 
347,6,39, 4th Quarter Exam 
348,17,35, 1st Quarter Exam 
349,23,60, 2nd Quarter Exam 
350,15,42, 4th Quarter Exam 
351,17,60, 1st Quarter Exam 
352,4,43, 1st Quarter Exam 
353,14,33, 3rd Quarter Exam 
354,24,60, 3rd Quarter Exam 
355,18,51, 4th Quarter Exam 
356,23,50, 4th Quarter Exam 
357,2,56, 4th Quarter Exam 
358,21,44, 4th Quarter Exam 
359,24,36, 4th Quarter Exam 
360,5,36, 1st Quarter Exam 
361,17,47, 3rd Quarter Exam 
362,4,47, 2nd Quarter Exam 
363,18,36, 1st Quarter Exam 
364,23,35, 1st Quarter Exam 
365,9,52, 2nd Quarter Exam 
366,27,59, 4th Quarter Exam 
367,28,54, 3rd Quarter Exam 
368,14,37, 4th Quarter Exam 
369,29,58, 1st Quarter Exam 
370,2,48, 1st Quarter Exam 
371,12,48, 4th Quarter Exam 
372,8,50, 1st Quarter Exam 
373,16,36, 3rd Quarter Exam 
374,21,53, 3rd Quarter Exam 
375,16,45, 2nd Quarter Exam 
376,26,50, 1st Quarter Exam 
377,26,56, 1st Quarter Exam 
378,6,59, 1st Quarter Exam 
379,2,30, 3rd Quarter Exam 
380,3,34, 4th Quarter Exam 
381,29,46, 1st Quarter Exam 
382,23,33, 4th Quarter Exam 
383,5,32, 4th Quarter Exam 
384,27,31, 4th Quarter Exam 
385,2,47, 4th Quarter Exam 
386,14,54, 2nd Quarter Exam 
387,19,47, 2nd Quarter Exam 
388,17,49, 4th Quarter Exam 
389,3,49, 1st Quarter Exam 
390,2,48, 2nd Quarter Exam 
391,23,31, 4th Quarter Exam 
392,14,47, 2nd Quarter Exam 
393,18,40, 3rd Quarter Exam 
394,15,55, 1st Quarter Exam 
395,23,53, 3rd Quarter Exam 
396,0,39, 1st Quarter Exam 
397,20,36, 3rd Quarter Exam 
398,22,52, 4th Quarter Exam 
399,28,35, 1st Quarter Exam 
400,19,51, 4th Quarter Exam 
401,15,55, 4th Quarter Exam 
402,20,43, 3rd Quarter Exam 
403,8,32, 3rd Quarter Exam 
404,12,53, 2nd Quarter Exam 
405,19,44, 1st Quarter Exam 
406,2,43, 4th Quarter Exam 
407,14,37, 3rd Quarter Exam 
408,28,55, 4th Quarter Exam 
409,26,50, 3rd Quarter Exam 
410,8,32, 2nd Quarter Exam 
411,9,43, 2nd Quarter Exam 
412,5,50, 1st Quarter Exam 
413,26,53, 4th Quarter Exam 
414,6,43, 3rd Quarter Exam 
415,19,34, 2nd Quarter Exam 
416,12,30, 1st Quarter Exam 
417,27,47, 1st Quarter Exam 
418,19,48, 3rd Quarter Exam 
419,19,45, 2nd Quarter Exam 
420,27,30, 2nd Quarter Exam 
421,29,31, 1st Quarter Exam 
422,15,52, 2nd Quarter Exam 
423,26,52, 1st Quarter Exam 
424,3,56, 2nd Quarter Exam 
425,22,39, 3rd Quarter Exam 
426,21,57, 1st Quarter Exam 
427,27,47, 3rd Quarter Exam 
428,15,41, 4th Quarter Exam 
429,2,57, 4th Quarter Exam 
430,24,31, 2nd Quarter Exam 
431,23,60, 4th Quarter Exam 
432,6,39, 3rd Quarter Exam 
433,26,51, 3rd Quarter Exam 
434,9,32, 3rd Quarter Exam 
435,20,48, 2nd Quarter Exam 
436,2,48, 1st Quarter Exam 
437,6,57, 3rd Quarter Exam 
438,18,57, 3rd Quarter Exam 
439,16,54, 3rd Quarter Exam 
440,19,51, 1st Quarter Exam 
441,19,58, 1st Quarter Exam 
442,9,60, 2nd Quarter Exam 
443,17,45, 1st Quarter Exam 
444,10,57, 1st Quarter Exam 
445,11,34, 3rd Quarter Exam 
446,21,56, 4th Quarter Exam 
447,24,46, 1st Quarter Exam 
448,5,57, 1st Quarter Exam 
449,21,40, 2nd Quarter Exam 
450,17,56, 2nd Quarter Exam 
451,0,33, 1st Quarter Exam 
452,20,51, 2nd Quarter Exam 
453,8,54, 1st Quarter Exam 
454,16,50, 4th Quarter Exam 
455,26,39, 2nd Quarter Exam 
456,20,37, 4th Quarter Exam 
457,26,42, 4th Quarter Exam 
458,23,39, 4th Quarter Exam 
459,0,50, 2nd Quarter Exam 
460,18,47, 1st Quarter Exam 
461,19,55, 2nd Quarter Exam 
462,1,55, 2nd Quarter Exam 
463,24,57, 3rd Quarter Exam 
464,20,42, 3rd Quarter Exam 
465,18,43, 3rd Quarter Exam 
466,21,48, 2nd Quarter Exam 
467,15,31, 2nd Quarter Exam 
468,8,42, 2nd Quarter Exam 
469,25,54, 2nd Quarter Exam 
470,25,50, 1st Quarter Exam 
471,0,55, 1st Quarter Exam 
472,27,60, 4th Quarter Exam 
473,29,37, 4th Quarter Exam 
474,25,60, 4th Quarter Exam 
475,9,56, 1st Quarter Exam 
476,10,34, 3rd Quarter Exam 
477,27,54, 3rd Quarter Exam 
478,28,44, 3rd Quarter Exam 
479,24,33, 4th Quarter Exam 
480,11,45, 2nd Quarter Exam 
481,23,34, 4th Quarter Exam 
482,23,54, 3rd Quarter Exam 
483,27,43, 1st Quarter Exam 
484,15,39, 1st Quarter Exam 
485,24,41, 2nd Quarter Exam 
486,4,50, 1st Quarter Exam 
487,21,42, 3rd Quarter Exam 
488,17,58, 4th Quarter Exam 
489,22,44, 1st Quarter Exam 
490,9,36, 1st Quarter Exam 
491,18,36, 2nd Quarter Exam 
492,2,50, 4th Quarter Exam 
493,2,41, 4th Quarter Exam 
494,28,34, 4th Quarter Exam 
495,16,45, 2nd Quarter Exam 
496,8,43, 2nd Quarter Exam 
497,21,41, 3rd Quarter Exam 
498,9,34, 2nd Quarter Exam 
499,11,52, 1st Quarter Exam 
500,8,58, 2nd Quarter Exam 
501,26,35, 1st Quarter Exam 
502,20,34, 1st Quarter Exam 
503,22,54, 2nd Quarter Exam 
504,9,41, 1st Quarter Exam 
505,2,37, 3rd Quarter Exam 
506,22,40, 4th Quarter Exam 
507,21,52, 1st Quarter Exam 
508,23,40, 3rd Quarter Exam 
509,16,32, 3rd Quarter Exam 
510,12,42, 1st Quarter Exam 
511,17,50, 4th Quarter Exam 
512,15,34, 2nd Quarter Exam 
513,5,51, 2nd Quarter Exam 
514,0,51, 3rd Quarter Exam 
515,21,43, 4th Quarter Exam 
516,8,38, 1st Quarter Exam 
517,14,52, 3rd Quarter Exam 
518,1,54, 4th Quarter Exam 
519,10,41, 1st Quarter Exam 
520,7,32, 3rd Quarter Exam 
521,19,41, 2nd Quarter Exam 
522,19,31, 1st Quarter Exam 
523,19,40, 2nd Quarter Exam 
524,18,34, 1st Quarter Exam 
525,18,39, 2nd Quarter Exam 
526,14,32, 1st Quarter Exam 
527,29,50, 1st Quarter Exam 
528,6,52, 3rd Quarter Exam 
529,23,48, 3rd Quarter Exam 
530,19,43, 1st Quarter Exam 
531,15,55, 1st Quarter Exam 
532,22,36, 4th Quarter Exam 
533,16,55, 4th Quarter Exam 
534,25,60, 3rd Quarter Exam 
535,13,58, 3rd Quarter Exam 
536,20,45, 1st Quarter Exam 
537,28,30, 2nd Quarter Exam 
538,20,36, 3rd Quarter Exam 
539,7,60, 1st Quarter Exam 
540,14,31, 2nd Quarter Exam 
541,29,55, 3rd Quarter Exam 
542,16,47, 4th Quarter Exam 
543,4,31, 3rd Quarter Exam 
544,7,49, 1st Quarter Exam 
545,3,30, 4th Quarter Exam 
546,3,39, 1st Quarter Exam 
547,2,46, 1st Quarter Exam 
548,8,55, 4th Quarter Exam 
549,8,55, 4th Quarter Exam 
550,28,41, 2nd Quarter Exam 
551,18,55, 2nd Quarter Exam 
552,17,41, 4th Quarter Exam 
553,14,49, 3rd Quarter Exam 
554,10,42, 2nd Quarter Exam 
555,17,54, 2nd Quarter Exam 
556,21,40, 1st Quarter Exam 
557,11,60, 4th Quarter Exam 
558,17,33, 4th Quarter Exam 
559,29,60, 1st Quarter Exam 
560,1,46, 3rd Quarter Exam 
561,20,33, 3rd Quarter Exam 
562,12,42, 3rd Quarter Exam 
563,28,58, 2nd Quarter Exam 
564,5,49, 4th Quarter Exam 
565,26,41, 4th Quarter Exam 
566,4,32, 4th Quarter Exam 
567,27,48, 1st Quarter Exam 
568,4,39, 3rd Quarter Exam 
569,28,32, 1st Quarter Exam 
570,29,35, 3rd Quarter Exam 
571,15,55, 1st Quarter Exam 
572,11,45, 2nd Quarter Exam 
573,11,51, 4th Quarter Exam 
574,16,33, 2nd Quarter Exam 
575,20,42, 3rd Quarter Exam 
576,10,41, 1st Quarter Exam 
577,4,35, 3rd Quarter Exam 
578,19,49, 1st Quarter Exam 
579,12,46, 1st Quarter Exam 
580,25,52, 2nd Quarter Exam 
581,2,35, 2nd Quarter Exam 
582,24,33, 1st Quarter Exam 
583,5,59, 4th Quarter Exam 
584,13,31, 3rd Quarter Exam 
585,23,41, 1st Quarter Exam 
586,19,41, 2nd Quarter Exam 
587,18,47, 2nd Quarter Exam 
588,15,54, 3rd Quarter Exam 
589,23,45, 3rd Quarter Exam 
590,6,58, 1st Quarter Exam 
591,20,41, 1st Quarter Exam 
592,2,57, 4th Quarter Exam 
593,27,37, 4th Quarter Exam 
594,0,57, 2nd Quarter Exam 
595,22,32, 2nd Quarter Exam 
596,0,39, 2nd Quarter Exam 
597,8,58, 3rd Quarter Exam 
598,15,44, 2nd Quarter Exam 
599,26,41, 3rd Quarter Exam 
600,5,53, 3rd Quarter Exam 
601,27,54, 1st Quarter Exam 
602,7,40, 2nd Quarter Exam 
603,10,59, 2nd Quarter Exam 
604,29,43, 1st Quarter Exam 
605,25,51, 4th Quarter Exam 
606,2,30, 3rd Quarter Exam 
607,5,48, 3rd Quarter Exam 
608,22,33, 4th Quarter Exam 
609,9,41, 1st Quarter Exam 
610,26,38, 4th Quarter Exam 
611,21,57, 1st Quarter Exam 
612,7,53, 1st Quarter Exam 
613,22,56, 4th Quarter Exam 
614,7,33, 3rd Quarter Exam 
615,23,39, 2nd Quarter Exam 
616,8,41, 4th Quarter Exam 
617,20,46, 2nd Quarter Exam 
618,4,45, 4th Quarter Exam 
619,11,46, 3rd Quarter Exam 
620,16,40, 3rd Quarter Exam 
621,24,38, 1st Quarter Exam 
622,18,44, 4th Quarter Exam 
623,25,40, 1st Quarter Exam 
624,9,31, 4th Quarter Exam 
625,27,43, 4th Quarter Exam 
626,23,48, 4th Quarter Exam 
627,18,33, 3rd Quarter Exam 
628,14,31, 3rd Quarter Exam 
629,9,36, 3rd Quarter Exam 
630,9,55, 3rd Quarter Exam 
631,21,57, 1st Quarter Exam 
632,5,51, 1st Quarter Exam 
633,5,47, 1st Quarter Exam 
634,25,35, 3rd Quarter Exam 
635,22,33, 2nd Quarter Exam 
636,12,53, 3rd Quarter Exam 
637,26,53, 1st Quarter Exam 
638,17,59, 1st Quarter Exam 
639,9,40, 3rd Quarter Exam 
640,22,39, 1st Quarter Exam 
641,23,42, 4th Quarter Exam 
642,5,59, 1st Quarter Exam 
643,4,57, 2nd Quarter Exam 
644,29,56, 3rd Quarter Exam 
645,12,34, 2nd Quarter Exam 
646,24,39, 3rd Quarter Exam 
647,8,50, 1st Quarter Exam 
648,3,58, 4th Quarter Exam 
649,7,37, 4th Quarter Exam 
650,22,58, 4th Quarter Exam 
651,8,41, 4th Quarter Exam 
652,25,32, 1st Quarter Exam 
653,10,33, 4th Quarter Exam 
654,1,38, 2nd Quarter Exam 
655,26,54, 2nd Quarter Exam 
656,12,45, 2nd Quarter Exam 
657,18,33, 2nd Quarter Exam 
658,18,41, 3rd Quarter Exam 
659,14,39, 4th Quarter Exam 
660,22,58, 2nd Quarter Exam 
661,7,37, 3rd Quarter Exam 
662,9,57, 2nd Quarter Exam 
663,20,46, 4th Quarter Exam 
664,12,40, 2nd Quarter Exam 
665,27,45, 1st Quarter Exam 
666,16,45, 3rd Quarter Exam 
667,28,48, 3rd Quarter Exam 
668,17,57, 2nd Quarter Exam 
669,16,40, 3rd Quarter Exam 
670,1,54, 2nd Quarter Exam 
671,26,60, 4th Quarter Exam 
672,26,33, 4th Quarter Exam 
673,1,49, 4th Quarter Exam 
674,23,52, 4th Quarter Exam 
675,17,33, 3rd Quarter Exam 
676,2,56, 3rd Quarter Exam 
677,3,42, 4th Quarter Exam 
678,29,59, 1st Quarter Exam 
679,23,55, 3rd Quarter Exam 
680,14,39, 1st Quarter Exam 
681,15,47, 3rd Quarter Exam 
682,13,47, 3rd Quarter Exam 
683,8,46, 1st Quarter Exam 
684,7,59, 2nd Quarter Exam 
685,6,39, 4th Quarter Exam 
686,8,49, 2nd Quarter Exam 
687,20,32, 2nd Quarter Exam 
688,7,32, 3rd Quarter Exam 
689,24,40, 3rd Quarter Exam 
690,18,52, 2nd Quarter Exam 
691,28,45, 1st Quarter Exam 
692,18,30, 3rd Quarter Exam 
693,20,60, 4th Quarter Exam 
694,11,52, 4th Quarter Exam 
695,11,36, 3rd Quarter Exam 
696,24,50, 1st Quarter Exam 
697,16,58, 1st Quarter Exam 
698,27,53, 1st Quarter Exam 
699,1,50, 1st Quarter Exam 
700,0,53, 4th Quarter Exam 
701,7,56, 4th Quarter Exam 
702,25,33, 1st Quarter Exam 
703,24,51, 1st Quarter Exam 
704,28,38, 2nd Quarter Exam 
705,18,42, 3rd Quarter Exam 
706,18,43, 1st Quarter Exam 
707,3,34, 1st Quarter Exam 
708,7,32, 1st Quarter Exam 
709,22,55, 2nd Quarter Exam 
710,9,57, 2nd Quarter Exam 
711,28,47, 2nd Quarter Exam 
712,4,38, 1st Quarter Exam 
713,6,33, 1st Quarter Exam 
714,28,53, 4th Quarter Exam 
715,29,56, 2nd Quarter Exam 
716,2,60, 1st Quarter Exam 
717,29,44, 3rd Quarter Exam 
718,4,45, 4th Quarter Exam 
719,4,48, 3rd Quarter Exam 
720,28,33, 1st Quarter Exam 
721,1,30, 4th Quarter Exam 
722,14,40, 2nd Quarter Exam 
723,26,41, 3rd Quarter Exam 
724,1,31, 2nd Quarter Exam 
725,26,59, 4th Quarter Exam 
726,28,45, 3rd Quarter Exam 
727,28,34, 2nd Quarter Exam 
728,28,35, 2nd Quarter Exam 
729,21,59, 2nd Quarter Exam 
730,15,59, 1st Quarter Exam 
731,8,34, 2nd Quarter Exam 
732,2,44, 4th Quarter Exam 
733,13,52, 2nd Quarter Exam 
734,1,56, 2nd Quarter Exam 
735,26,48, 2nd Quarter Exam 
736,27,47, 1st Quarter Exam 
737,15,35, 3rd Quarter Exam 
738,28,44, 4th Quarter Exam 
739,19,56, 2nd Quarter Exam 
740,23,37, 2nd Quarter Exam 
741,17,37, 1st Quarter Exam 
742,18,48, 1st Quarter Exam 
743,18,38, 1st Quarter Exam 
744,14,30, 4th Quarter Exam 
745,23,48, 4th Quarter Exam 
746,26,48, 3rd Quarter Exam 
747,10,45, 4th Quarter Exam 
748,2,58, 2nd Quarter Exam 
749,14,32, 3rd Quarter Exam 
750,16,60, 4th Quarter Exam 
751,5,41, 1st Quarter Exam 
752,1,31, 2nd Quarter Exam 
753,13,41, 2nd Quarter Exam 
754,19,52, 1st Quarter Exam 
