studentExamsID,shortExamsIndex,shortExamsID,firstQuarterScores,secondQuarterScores,thirdQuarterScores,fourthQuarterScores
44,174,64,13,10,2,10
44,175,64,15,15,19,9
44,176,64,3,10,13,10
45,177,65,16,12,0,1
45,178,65,8,12,12,20
45,179,65,11,4,15,11
45,180,65,1,16,0,12
46,181,66,5,6,17,18
46,182,66,10,5,3,13
46,183,66,15,5,19,6
46,184,66,9,19,14,12
47,185,67,18,19,10,14
47,186,67,2,8,20,5
47,187,67,11,9,5,16
47,188,67,14,20,2,5
48,189,68,9,18,19,14
48,190,68,10,3,4,15
48,191,68,6,7,20,13
48,192,68,10,6,18,9
49,193,71,17,20,8,5
49,194,71,8,0,7,18
49,195,71,0,9,3,16
49,196,71,2,3,9,19
50,197,72,13,2,20,14
50,198,72,11,15,8,14
50,199,72,13,18,11,12
50,200,72,10,0,13,19
51,201,73,0,14,17,12
51,202,73,2,3,4,9
51,203,73,10,19,15,20
51,204,73,1,7,9,3
52,205,74,8,8,1,4
52,206,74,6,5,16,4
52,207,74,20,2,9,11
52,208,74,11,0,14,11
53,209,75,3,19,14,11
53,210,75,7,6,1,6
53,211,75,4,13,13,0
53,212,75,17,13,15,14
54,213,76,7,9,3,16
54,214,76,17,10,7,11
54,215,76,15,18,2,12
54,216,76,9,16,3,7
55,217,77,13,12,13,4
55,218,77,15,0,17,12
55,219,77,1,17,15,15
55,220,77,7,2,11,18
56,221,78,1,15,11,13
56,222,78,19,4,10,17
56,223,78,3,16,5,5
56,224,78,8,18,17,1
57,225,81,12,8,13,12
57,226,81,13,0,1,3
57,227,81,14,15,5,14
57,228,81,9,7,14,15
58,229,82,3,2,10,15
58,230,82,0,16,2,2
58,231,82,9,8,20,3
58,232,82,17,16,11,5
59,233,83,3,18,13,7
59,234,83,11,4,3,6
59,235,83,10,15,16,0
59,236,83,6,14,18,3
60,237,84,6,3,18,15
60,238,84,14,14,5,1
60,239,84,20,4,19,15
60,240,84,1,16,16,10
61,241,85,13,20,16,5
61,242,85,15,11,16,9
61,243,85,10,3,10,12
61,244,85,5,19,1,6
62,245,86,7,5,19,18
62,246,86,10,16,8,0
62,247,86,14,19,8,15
62,248,86,17,14,16,5
63,249,87,6,15,12,10
63,250,87,3,8,15,6
63,251,87,18,16,9,10
63,252,87,0,5,6,12
64,253,88,19,6,1,2
64,254,88,3,14,17,16
64,255,88,15,7,0,16
64,256,88,14,3,10,11
65,257,91,9,1,6,10
65,258,91,10,0,18,4
65,259,91,15,16,8,10
65,260,91,3,4,10,2
66,261,92,6,13,10,15
66,262,92,5,20,8,4
66,263,92,4,19,8,17
66,264,92,15,20,7,0
67,265,93,17,20,5,10
67,266,93,2,2,6,3
67,267,93,10,5,9,9
67,268,93,19,11,10,7
68,269,94,7,5,20,10
68,270,94,12,17,17,19
68,271,94,0,16,8,0
68,272,94,3,5,18,5
69,273,95,12,9,19,15
69,274,95,1,15,7,18
69,275,95,5,12,13,1
69,276,95,2,10,19,12
70,277,96,20,17,18,20
70,278,96,7,19,13,20
70,279,96,13,6,4,17
70,280,96,11,15,17,2
71,281,97,18,4,20,3
71,282,97,20,18,7,6
71,283,97,18,8,13,13
71,284,97,12,11,4,12
72,285,98,2,14,6,3
72,286,98,7,11,12,18
72,287,98,15,3,0,11
72,288,98,14,11,18,19
73,289,101,4,18,3,13
73,290,101,12,3,7,20
73,291,101,4,6,2,8
73,292,101,20,19,20,16
74,293,102,9,13,3,8
74,294,102,17,19,8,4
74,295,102,6,12,4,12
74,296,102,12,3,5,3
75,297,103,19,19,9,3
75,298,103,19,0,4,4
75,299,103,4,13,19,5
75,300,103,18,10,9,9
76,301,104,6,18,18,18
76,302,104,7,15,8,13
76,303,104,16,12,18,1
76,304,104,13,6,9,1
77,305,105,19,11,3,2
77,306,105,18,10,13,20
77,307,105,13,10,8,12
77,308,105,0,4,19,11
78,309,106,10,3,6,18
78,310,106,0,12,5,19
78,311,106,3,4,17,3
78,312,106,9,11,18,3
79,313,107,6,5,18,3
79,314,107,20,16,17,2
79,315,107,14,13,2,10
79,316,107,18,10,6,10
80,317,108,10,14,1,20
80,318,108,3,2,13,14
80,319,108,15,3,2,5
80,320,108,18,6,10,13
81,321,111,1,10,10,0
81,322,111,2,0,19,18
81,323,111,0,9,9,16
81,324,111,11,9,9,4
82,325,112,3,13,7,20
82,326,112,5,16,8,14
82,327,112,13,2,5,1
82,328,112,16,3,19,3
83,329,113,4,19,10,9
83,330,113,12,11,4,9
83,331,113,20,5,14,9
83,332,113,18,2,10,11
84,333,114,7,20,14,3
84,334,114,16,8,11,17
84,335,114,3,9,0,16
84,336,114,0,3,11,1
85,337,115,7,5,9,17
85,338,115,9,20,0,12
85,339,115,9,16,11,20
85,340,115,2,11,10,11
86,341,116,16,13,12,0
86,342,116,20,9,17,3
86,343,116,12,17,20,1
86,344,116,18,12,17,7
87,345,117,12,13,3,15
87,346,117,2,17,17,13
87,347,117,1,10,2,8
87,348,117,5,0,0,2
88,349,118,16,8,3,8
88,350,118,1,5,4,13
88,351,118,7,7,14,10
88,352,118,20,20,15,8
89,353,121,17,17,14,12
89,354,121,13,2,1,5
89,355,121,9,11,17,13
89,356,121,7,3,0,14
90,357,122,9,9,10,6
90,358,122,9,10,8,5
90,359,122,9,15,14,5
90,360,122,14,3,16,15
91,361,123,1,5,17,13
91,362,123,20,15,16,19
91,363,123,7,0,6,0
91,364,123,13,18,13,7
92,365,124,19,10,0,15
92,366,124,1,4,11,15
92,367,124,17,16,10,12
92,368,124,3,14,8,7
93,369,125,8,9,12,8
93,370,125,6,8,12,5
93,371,125,9,0,6,2
93,372,125,16,2,9,2
94,373,126,19,15,0,20
94,374,126,9,11,14,12
94,375,126,10,17,20,9
94,376,126,3,3,0,11
95,377,127,19,9,6,1
95,378,127,4,14,5,16
95,379,127,18,18,0,5
95,380,127,2,13,16,10
96,381,128,17,18,10,3
96,382,128,7,16,6,9
96,383,128,11,1,9,4
96,384,128,12,14,13,5
97,385,131,4,3,0,20
97,386,131,15,13,11,1
97,387,131,12,4,3,4
97,388,131,6,0,19,8
98,389,132,4,17,4,15
98,390,132,19,9,18,7
98,391,132,2,3,2,3
98,392,132,14,15,13,12
99,393,133,15,20,13,1
99,394,133,19,12,19,8
99,395,133,6,19,18,12
99,396,133,5,4,16,20
100,397,134,1,8,20,15
100,398,134,3,11,20,17
100,399,134,14,0,20,15
100,400,134,15,7,12,6
101,401,135,9,2,8,7
101,402,135,12,17,15,5
101,403,135,17,20,1,6
101,404,135,13,8,4,10
102,405,136,16,1,7,3
102,406,136,6,11,0,7
102,407,136,19,1,16,7
102,408,136,16,13,12,14
103,409,137,9,2,11,12
103,410,137,4,9,0,17
103,411,137,16,8,4,3
103,412,137,18,2,1,14
104,413,138,16,8,13,10
104,414,138,2,11,8,13
104,415,138,6,0,15,10
104,416,138,18,8,20,13
105,417,141,13,9,5,13
105,418,141,5,2,1,15
105,419,141,18,16,3,17
105,420,141,13,3,2,8
106,421,142,4,10,19,19
106,422,142,5,8,17,14
106,423,142,5,3,11,8
106,424,142,16,14,11,9
107,425,143,6,12,15,13
107,426,143,15,10,18,6
107,427,143,11,2,20,17
107,428,143,2,17,19,16
108,429,144,7,13,1,1
108,430,144,18,1,15,2
108,431,144,3,6,10,4
108,432,144,16,8,20,19
109,433,145,8,4,15,9
109,434,145,12,14,14,1
109,435,145,20,9,16,4
109,436,145,17,5,9,4
110,437,146,1,0,10,16
110,438,146,3,10,8,1
110,439,146,8,4,2,17
110,440,146,13,19,18,13
111,441,147,12,10,20,10
111,442,147,19,1,0,6
111,443,147,14,7,19,0
111,444,147,9,2,17,2
112,445,148,8,10,5,17
112,446,148,0,10,10,15
112,447,148,4,9,18,6
112,448,148,9,10,5,20
113,449,151,1,12,6,6
113,450,151,1,2,16,4
113,451,151,0,0,2,4
113,452,151,18,11,15,0
114,453,152,12,0,10,17
114,454,152,0,4,19,9
114,455,152,10,18,7,20
114,456,152,16,4,6,16
115,457,153,5,9,13,18
115,458,153,18,9,17,13
115,459,153,18,7,14,0
115,460,153,16,3,9,3
116,461,154,4,16,16,17
116,462,154,17,9,3,17
116,463,154,8,0,6,1
116,464,154,7,14,12,20
117,465,155,20,14,8,18
117,466,155,4,5,6,14
117,467,155,2,2,4,5
117,468,155,7,11,7,13
118,469,156,13,1,4,13
118,470,156,10,9,11,7
118,471,156,0,9,5,8
118,472,156,20,5,8,12
119,473,157,10,18,17,12
119,474,157,19,13,11,2
119,475,157,13,7,20,11
119,476,157,13,8,19,17
120,477,158,9,4,6,7
120,478,158,3,7,17,1
120,479,158,0,1,4,5
120,480,158,9,6,2,20
121,481,161,11,5,19,4
121,482,161,8,0,8,9
121,483,161,14,8,17,14
121,484,161,18,11,10,15
122,485,162,2,6,15,1
122,486,162,20,8,11,17
122,487,162,9,1,11,9
122,488,162,20,18,12,6
123,489,163,14,2,18,16
123,490,163,5,18,2,5
123,491,163,16,8,20,17
123,492,163,10,1,18,18
124,493,164,1,16,7,11
124,494,164,10,2,8,2
124,495,164,17,14,4,4
124,496,164,10,14,6,19
125,497,165,14,16,12,9
125,498,165,4,12,4,7
125,499,165,18,3,20,12
125,500,165,12,2,12,16
126,501,166,12,12,0,10
126,502,166,11,15,18,9
126,503,166,7,12,13,3
126,504,166,7,2,10,19
127,505,167,20,18,20,14
127,506,167,3,9,10,3
127,507,167,10,6,17,14
127,508,167,17,18,16,18
128,509,168,16,0,19,18
128,510,168,4,9,0,9
128,511,168,3,12,14,6
128,512,168,18,12,15,19
129,513,171,11,7,0,3
129,514,171,9,11,15,13
129,515,171,3,8,17,10
129,516,171,11,10,10,18
130,517,172,6,0,18,10
130,518,172,16,19,15,9
130,519,172,15,2,7,6
130,520,172,16,18,4,15
131,521,173,1,11,12,13
131,522,173,15,0,14,0
131,523,173,9,16,11,5
131,524,173,4,8,11,13
132,525,174,10,20,5,20
132,526,174,15,7,2,12
132,527,174,20,14,10,6
132,528,174,5,13,14,3
133,529,175,6,2,18,11
133,530,175,5,15,0,12
133,531,175,5,20,14,13
133,532,175,6,4,19,9
134,533,176,15,4,17,18
134,534,176,10,1,16,10
134,535,176,20,6,11,0
134,536,176,10,15,14,14
135,537,177,17,16,2,12
135,538,177,1,11,3,20
135,539,177,0,17,1,8
135,540,177,1,0,1,1
136,541,178,10,7,6,12
136,542,178,6,18,18,9
136,543,178,16,5,8,11
136,544,178,14,18,2,16
137,545,181,2,16,14,13
137,546,181,16,1,15,7
137,547,181,7,15,16,13
137,548,181,14,3,4,11
138,549,182,11,9,7,9
138,550,182,20,3,15,10
138,551,182,7,11,11,2
138,552,182,4,13,12,16
139,553,183,18,6,14,11
139,554,183,11,0,0,19
139,555,183,17,18,7,6
139,556,183,6,7,12,11
140,557,184,3,11,13,5
140,558,184,18,11,4,18
140,559,184,10,4,1,20
140,560,184,14,7,12,14
141,561,185,12,6,6,17
141,562,185,18,15,12,6
141,563,185,4,2,9,1
141,564,185,10,7,18,13
142,565,186,18,8,8,6
142,566,186,20,8,1,3
142,567,186,11,16,6,14
142,568,186,10,13,19,5
143,569,187,10,17,18,2
143,570,187,11,8,9,4
143,571,187,1,12,16,8
143,572,187,0,2,20,0
144,573,188,1,14,5,12
144,574,188,20,4,2,7
144,575,188,9,15,6,3
144,576,188,2,17,16,9
145,577,191,17,12,11,2
145,578,191,13,11,7,2
145,579,191,6,11,10,2
145,580,191,15,2,20,16
146,581,192,8,3,8,4
146,582,192,15,10,3,20
146,583,192,19,2,10,18
146,584,192,8,10,3,11
147,585,193,12,15,12,0
147,586,193,19,18,10,16
147,587,193,13,9,15,12
147,588,193,10,10,16,6
148,589,194,5,18,8,6
148,590,194,7,1,4,17
148,591,194,1,11,15,0
148,592,194,17,16,17,5
149,593,195,8,19,10,6
149,594,195,4,18,19,0
149,595,195,7,5,12,16
149,596,195,3,6,9,10
150,597,196,17,11,5,4
150,598,196,1,16,1,12
150,599,196,15,9,13,1
150,600,196,8,20,2,17
151,601,197,16,13,15,9
151,602,197,18,17,5,0
151,603,197,14,9,11,12
151,604,197,2,19,3,19
152,605,198,20,1,12,7
152,606,198,10,12,19,14
152,607,198,15,18,2,18
152,608,198,2,9,15,8
153,609,201,2,14,14,1
153,610,201,2,2,15,13
153,611,201,19,19,18,5
153,612,201,20,18,5,8
154,613,202,5,15,9,10
154,614,202,13,3,19,6
154,615,202,1,11,9,4
154,616,202,20,5,20,15
155,617,203,6,8,10,3
155,618,203,7,4,11,4
155,619,203,9,13,8,15
155,620,203,10,13,2,13
156,621,204,12,9,5,18
156,622,204,2,19,17,19
156,623,204,20,5,15,4
156,624,204,15,15,15,12
157,625,205,18,6,18,19
157,626,205,11,4,18,7
157,627,205,1,17,2,17
157,628,205,9,20,9,8
158,629,206,1,13,6,16
158,630,206,8,13,15,1
158,631,206,10,15,10,5
158,632,206,19,13,12,5
159,633,207,9,4,16,0
159,634,207,12,14,18,14
159,635,207,16,1,17,1
159,636,207,7,7,10,9
160,637,208,7,0,13,15
160,638,208,15,20,19,7
160,639,208,7,8,17,0
160,640,208,14,1,16,19
161,641,211,9,12,5,14
161,642,211,12,7,20,7
161,643,211,18,20,13,0
161,644,211,10,13,3,1
162,645,212,5,18,2,3
162,646,212,17,14,19,9
162,647,212,9,14,16,15
162,648,212,6,7,9,9
163,649,213,10,5,12,10
163,650,213,10,16,18,8
163,651,213,4,4,1,2
163,652,213,8,0,10,0
164,653,214,12,13,17,15
164,654,214,7,11,4,19
164,655,214,2,2,10,7
164,656,214,9,14,16,4
165,657,215,8,1,6,6
165,658,215,8,16,1,11
165,659,215,17,20,5,18
165,660,215,7,12,11,7
166,661,216,6,16,19,17
166,662,216,12,13,10,10
166,663,216,16,2,11,16
166,664,216,16,2,2,10
167,665,217,14,16,0,8
167,666,217,18,5,4,15
167,667,217,13,14,9,8
167,668,217,11,6,6,13
168,669,218,12,4,14,11
168,670,218,4,1,15,14
168,671,218,18,16,1,19
168,672,218,20,17,6,12
169,673,221,19,7,3,9
169,674,221,2,0,4,17
169,675,221,1,11,1,15
169,676,221,20,12,16,18
170,677,222,11,15,18,9
170,678,222,12,13,14,7
170,679,222,19,13,18,4
170,680,222,11,2,0,8
171,681,223,13,5,0,2
171,682,223,1,20,9,20
171,683,223,5,19,6,15
171,684,223,17,2,11,8
172,685,224,1,13,12,3
172,686,224,5,4,1,19
172,687,224,10,18,6,14
172,688,224,0,5,6,7
173,689,225,10,1,20,10
173,690,225,6,5,3,4
173,691,225,8,18,16,9
173,692,225,13,0,19,2
174,693,226,8,15,8,3
174,694,226,7,9,9,16
174,695,226,11,13,4,15
174,696,226,19,0,16,16
175,697,227,5,13,3,13
175,698,227,6,13,3,10
175,699,227,5,20,13,11
175,700,227,20,11,1,6
176,701,228,12,19,6,4
176,702,228,16,20,4,15
176,703,228,14,2,17,17
176,704,228,12,18,9,1
177,705,231,20,18,19,9
177,706,231,0,9,16,8
177,707,231,11,0,4,16
177,708,231,10,19,18,11
178,709,232,18,15,9,14
178,710,232,17,3,12,4
178,711,232,5,3,20,18
178,712,232,6,7,10,14
179,713,233,17,7,6,6
179,714,233,2,9,15,2
179,715,233,11,19,17,17
179,716,233,18,2,8,14
180,717,234,4,3,1,11
180,718,234,16,12,3,16
180,719,234,2,6,9,4
180,720,234,3,19,10,3
181,721,235,14,6,14,10
181,722,235,11,1,19,2
181,723,235,20,17,0,20
181,724,235,19,7,13,4
182,725,236,17,14,10,12
182,726,236,14,2,3,9
182,727,236,1,2,8,0
182,728,236,4,9,7,6
183,729,237,20,13,14,6
183,730,237,14,16,0,8
183,731,237,5,16,4,12
183,732,237,14,20,9,10
184,733,238,1,0,16,6
184,734,238,15,18,12,4
184,735,238,12,18,4,1
184,736,238,14,10,12,14
185,737,241,11,2,19,11
185,738,241,10,0,18,18
185,739,241,4,2,2,0
185,740,241,15,17,16,16
186,741,242,17,8,9,3
186,742,242,7,18,10,5
186,743,242,14,0,17,15
186,744,242,0,18,11,13
187,745,243,19,2,20,8
187,746,243,7,17,15,9
187,747,243,0,20,20,8
187,748,243,13,12,17,2
188,749,244,0,8,7,0
188,750,244,15,2,3,5
188,751,244,12,3,15,7
188,752,244,19,11,9,7
189,753,245,12,7,0,18
189,754,245,5,10,0,6
189,755,245,6,8,7,10
189,756,245,7,12,15,10
190,757,246,14,0,2,19
190,758,246,17,6,1,8
190,759,246,13,7,17,7
190,760,246,19,14,19,14
191,761,247,20,4,12,17
191,762,247,7,0,13,16
191,763,247,13,3,13,9
191,764,247,9,9,13,10
192,765,248,18,11,11,6
192,766,248,11,13,18,13
192,767,248,15,8,16,15
192,768,248,17,17,3,5
193,769,251,19,12,17,20
193,770,251,16,14,14,17
193,771,251,16,14,7,4
193,772,251,3,9,20,1
194,773,252,8,6,14,4
194,774,252,15,8,14,1
194,775,252,9,20,9,8
194,776,252,15,13,20,15
195,777,253,0,10,17,6
195,778,253,16,5,6,4
195,779,253,13,17,9,18
195,780,253,9,15,11,9
196,781,254,1,6,1,10
196,782,254,6,16,7,1
196,783,254,17,20,8,5
196,784,254,20,7,10,9
197,785,255,10,11,8,14
197,786,255,0,12,1,18
197,787,255,12,12,8,3
197,788,255,11,17,20,19
198,789,256,9,4,0,20
198,790,256,18,1,5,19
198,791,256,7,8,17,0
198,792,256,3,10,5,15
199,793,257,14,4,12,0
199,794,257,15,3,1,16
199,795,257,6,20,2,9
199,796,257,14,18,14,18
200,797,258,2,7,0,6
200,798,258,10,12,6,19
200,799,258,6,19,5,0
200,800,258,18,9,11,17
201,801,261,15,15,0,14
201,802,261,7,20,6,12
201,803,261,1,4,12,11
201,804,261,14,2,6,15
202,805,262,15,3,0,9
202,806,262,10,5,1,18
202,807,262,6,3,9,5
202,808,262,2,1,4,14
203,809,263,4,17,1,2
203,810,263,5,7,8,10
203,811,263,2,5,4,16
203,812,263,14,8,1,3
204,813,264,16,4,6,15
204,814,264,17,12,5,17
204,815,264,18,16,10,20
204,816,264,2,9,2,6
205,817,265,2,18,1,9
205,818,265,7,0,19,17
205,819,265,17,7,16,8
205,820,265,13,6,18,15
206,821,266,11,5,2,5
206,822,266,9,10,6,19
206,823,266,0,2,2,6
206,824,266,13,16,1,17
207,825,267,5,19,3,9
207,826,267,16,3,9,1
207,827,267,11,10,18,19
207,828,267,6,0,0,18
208,829,268,5,10,3,16
208,830,268,1,14,15,13
208,831,268,6,11,20,5
208,832,268,3,2,18,9
209,833,271,5,14,8,14
209,834,271,9,14,10,12
209,835,271,16,1,13,10
209,836,271,3,4,7,17
210,837,272,15,2,5,7
210,838,272,19,14,3,5
210,839,272,10,7,17,19
210,840,272,11,15,6,4
211,841,273,7,6,10,7
211,842,273,13,3,20,1
211,843,273,5,16,20,16
211,844,273,14,1,0,12
212,845,274,20,14,4,10
212,846,274,15,6,4,11
212,847,274,13,0,6,10
212,848,274,13,9,7,9
213,849,275,7,9,1,1
213,850,275,3,4,4,8
213,851,275,13,12,4,18
213,852,275,5,10,1,14
214,853,276,3,11,19,19
214,854,276,15,16,0,19
214,855,276,20,3,4,5
214,856,276,14,8,10,8
215,857,277,18,12,11,3
215,858,277,6,15,1,3
215,859,277,8,15,12,17
215,860,277,15,16,1,1
216,861,278,9,10,16,19
216,862,278,11,13,3,7
216,863,278,6,12,13,3
216,864,278,1,16,19,12
217,865,281,9,2,15,0
217,866,281,5,14,20,16
217,867,281,12,20,8,5
217,868,281,10,14,20,3
218,869,282,16,4,5,0
218,870,282,3,14,20,8
218,871,282,18,13,7,8
218,872,282,16,4,14,8
219,873,283,19,5,13,10
219,874,283,4,14,12,7
219,875,283,3,8,14,5
219,876,283,6,19,11,9
220,877,284,1,6,1,1
220,878,284,12,12,15,6
220,879,284,8,10,18,17
220,880,284,20,17,1,12
221,881,285,4,13,7,6
221,882,285,7,9,11,2
221,883,285,13,18,8,10
221,884,285,11,0,15,19
222,885,286,15,3,17,2
222,886,286,20,16,15,17
222,887,286,18,15,6,16
222,888,286,8,4,18,9
223,889,287,11,17,20,7
223,890,287,13,4,12,20
223,891,287,15,12,13,10
223,892,287,15,9,6,15
224,893,288,9,5,14,11
224,894,288,9,11,9,5
224,895,288,14,6,4,14
224,896,288,20,12,2,3
225,897,291,7,14,5,11
225,898,291,15,6,18,10
225,899,291,8,11,11,12
225,900,291,11,6,13,16
226,901,292,1,15,17,20
226,902,292,16,16,15,5
226,903,292,12,10,5,6
226,904,292,4,6,3,20
227,905,293,13,5,0,1
227,906,293,1,14,10,7
227,907,293,16,13,1,9
227,908,293,2,19,16,12
228,909,294,5,8,12,4
228,910,294,7,2,3,15
228,911,294,17,12,18,13
228,912,294,3,9,4,10
229,913,295,4,8,2,12
229,914,295,1,3,3,18
229,915,295,4,4,15,19
229,916,295,10,20,6,9
230,917,296,15,10,2,13
230,918,296,0,8,8,10
230,919,296,0,13,14,20
230,920,296,10,1,15,16
231,921,297,17,0,16,4
231,922,297,4,5,3,8
231,923,297,19,6,13,4
231,924,297,14,8,14,6
232,925,298,8,17,1,17
232,926,298,19,7,4,5
232,927,298,13,7,8,17
232,928,298,18,1,9,2
233,929,301,17,19,17,15
233,930,301,14,10,19,3
233,931,301,18,15,2,15
233,932,301,4,8,6,16
234,933,302,12,18,4,19
234,934,302,7,16,2,0
234,935,302,18,8,19,13
234,936,302,17,17,8,13
235,937,303,7,13,16,16
235,938,303,17,3,6,10
235,939,303,6,5,9,15
235,940,303,17,10,2,20
236,941,304,12,19,0,6
236,942,304,9,11,5,9
236,943,304,4,17,19,17
236,944,304,5,10,13,3
237,945,305,9,6,16,9
237,946,305,12,13,19,19
237,947,305,3,11,1,12
237,948,305,2,12,9,13
238,949,306,13,3,19,6
238,950,306,2,1,17,19
238,951,306,7,3,6,15
238,952,306,19,18,8,8
239,953,307,10,13,12,3
239,954,307,20,6,14,7
239,955,307,20,11,15,1
239,956,307,13,19,14,4
240,957,308,16,1,1,17
240,958,308,5,8,1,13
240,959,308,5,20,4,3
240,960,308,19,10,9,7
241,961,311,19,15,19,1
241,962,311,15,8,18,15
241,963,311,6,1,8,14
241,964,311,7,7,10,2
242,965,312,5,20,17,10
242,966,312,0,12,18,14
242,967,312,5,7,2,8
242,968,312,8,15,12,10
243,969,313,3,11,10,19
243,970,313,15,15,17,11
243,971,313,9,13,3,2
243,972,313,19,5,19,15
244,973,314,13,1,4,13
244,974,314,4,5,2,19
244,975,314,4,12,17,9
244,976,314,19,11,8,15
245,977,315,17,15,12,8
245,978,315,9,6,4,10
245,979,315,13,3,3,13
245,980,315,11,7,12,0
246,981,316,19,0,16,6
246,982,316,10,9,15,20
246,983,316,17,5,18,8
246,984,316,11,16,8,2
247,985,317,7,15,4,0
247,986,317,1,1,12,15
247,987,317,0,11,8,12
247,988,317,5,2,2,1
248,989,318,14,0,13,11
248,990,318,19,3,18,6
248,991,318,2,10,5,16
