studentExamsID,firstQuarterAverage,secondQuarterAverage,thirdQuarterAverage,fourthQuarterAverage,overAllAverage,passCondition
135,56.75,85.66667,65.75,80.91667,72.270835,FAIL
136,76.83333,89.33333,87.16667,53.33333,76.666665,PASS
137,88.41667,55.41667,84.25,65.66667,73.4375025,FAIL
138,62.5,86.33333,63.25,77.25,72.3333325,FAIL
139,57,81.08333,65.58333,77.08333,70.1874975,FAIL
140,53.91667,73.58333,47.5,79.58333,63.6458325,FAIL
141,88.33333,67.5,73.91667,53.25,70.75,FAIL
142,92.08333,55.25,67.16667,68.33333,70.7083325,FAIL
143,45.5,53.75,62.41667,67.5,57.2916675,FAIL
144,85.33333,65.83333,63.25,59.75,68.541665,FAIL
145,87.41667,57,68,60.16667,68.145835,FAIL
146,81.83333,64.91667,86,77.25,77.5,PASS
147,78.83333,57,67.91667,76.5,70.0625,FAIL
148,59.5,83.5,83,56.33333,70.5833325,FAIL
149,82.83333,81.33333,91.16667,80,83.8333325,PASS
150,56.91667,80.66667,83.91667,71.16667,73.16667,FAIL
151,57.83333,57.16667,77.83333,66,64.7083325,FAIL
152,69.08333,54,61.33333,82.41667,66.7083325,FAIL
153,81.41667,66.58333,54.33333,53.41667,63.9375,FAIL
154,85.75,63.16667,60.91667,82.08333,72.9791675,FAIL
155,48,69.5,49.08333,79.41667,61.5,FAIL
156,85.58333,69.33333,62.33333,53.25,67.6249975,FAIL
157,67.08333,82.41667,71.75,83.41667,76.1666675,PASS
158,69.5,66.83333,84.08333,80.08333,75.1249975,PASS
159,91,75.83333,63.25,86,79.0208325,PASS
160,68.08333,56.58333,57.58333,52.91667,58.791665,FAIL
161,62.91667,53,75.58333,84.16667,68.9166675,FAIL
162,83.91667,59.91667,75.5,70.33333,72.4166675,FAIL
163,48,58.25,66.25,69,60.375,FAIL
164,76.83333,66,82.41667,55.25,70.125,FAIL
165,82,65.58333,77.75,86.5,77.9583325,PASS
166,68.5,49.58333,61.16667,58.58333,59.4583325,FAIL
167,90,70.25,62.08333,84.33333,76.666665,PASS
168,80.16667,84.16667,50.33333,84.66667,74.833335,FAIL
169,61.16667,67.5,63.33333,65.41667,64.3541675,FAIL
170,83.91667,85.41667,80.5,87,84.208335,PASS
171,81,90.16667,67.83333,80.58333,79.8958325,PASS
172,45.33333,71.33333,55.58333,73.41667,61.416665,FAIL
173,85.25,72.66667,77.16667,86.25,80.333335,PASS
174,68.58333,62.58333,85.25,87.16667,75.8958325,PASS
175,58.33333,84.91667,61,50,63.5625,FAIL
176,85.5,68.08333,54.33333,85.25,73.291665,FAIL
177,70.25,68.83333,59.58333,52.33333,62.7499975,FAIL
178,82.16667,77.66667,55.41667,91.16667,76.60417,PASS
179,60,49.25,90.16667,76.41667,68.958335,FAIL
180,64.91667,58,71.08333,73.83333,66.9583325,FAIL
181,94.66667,62.41667,51.5,55.66667,66.0625025,FAIL
182,65,66.75,61.66667,66.75,65.0416675,FAIL
183,91.91667,56.25,69.41667,83.66667,75.3125025,PASS
184,82.5,75.5,63,46.25,66.8125,FAIL
185,71.33333,53.25,61.75,72.58333,64.729165,FAIL
186,74.83333,59,75.75,54.33333,65.979165,FAIL
187,89.75,64.75,74,57.41667,71.4791675,FAIL
188,59.5,58,83.16667,72.75,68.3541675,FAIL
189,66.16667,82.58333,53.5,64.33333,66.6458325,FAIL
190,66.41667,53.41667,76.41667,64,65.0625025,FAIL
191,73.58333,69.33333,56.75,63.66667,65.8333325,FAIL
192,60.58333,85.58333,66.66667,49.75,65.6458325,FAIL
193,86.83333,68.25,55.83333,66.5,69.354165,FAIL
194,59.75,55.75,60.91667,63,59.8541675,FAIL
195,81.5,69.08333,74.75,49.25,68.6458325,FAIL
196,60.33333,70.91667,47.83333,55.58333,58.666665,FAIL
197,81.58333,59.66667,85.25,62.83333,72.3333325,FAIL
198,71.91667,85.75,85.41667,92.16667,83.8125025,PASS
199,60.25,51.25,76.58333,78.75,66.7083325,FAIL
200,70.33333,51.75,58.83333,67.83333,62.1874975,FAIL
201,73.25,76.91667,63.33333,55.66667,67.2916675,FAIL
202,78.91667,55,51.5,67.5,63.2291675,FAIL
203,47.58333,89.25,67.5,77.08333,70.354165,FAIL
204,81.25,66.25,45.75,67.83333,65.2708325,FAIL
205,84.41667,79.75,81.5,62.91667,77.145835,PASS
206,53.58333,81.58333,73.41667,59.75,67.0833325,FAIL
207,77.5,62.66667,86.16667,69.08333,73.8541675,FAIL
208,79.75,54.58333,88.66667,57.41667,70.1041675,FAIL
209,78.91667,56.25,81.5,54.58333,67.8125,FAIL
210,87.08333,56.16667,62.41667,75.41667,70.270835,FAIL
211,87.08333,81.16667,80.5,87.66667,84.1041675,PASS
212,81.91667,72.58333,59.91667,71.33333,71.4375,FAIL
213,77.66667,48.75,58.5,56.91667,60.458335,FAIL
214,59.66667,86.83333,57.58333,60.75,66.2083325,FAIL
215,77.08333,54.5,66.25,51.33333,62.291665,FAIL
216,78.75,52.75,63.41667,63.58333,64.625,FAIL
217,73,60.5,93.08333,86,78.1458325,PASS
218,71.91667,83.41667,62.16667,67.33333,71.208335,FAIL
219,53.33333,79.5,80.5,47.75,65.2708325,FAIL
220,82.25,72.58333,78.08333,55.66667,72.1458325,FAIL
221,66.08333,87.33333,54.25,63.91667,67.8958325,FAIL
222,64.58333,78.83333,67.33333,88.33333,74.77083,FAIL
223,66.83333,74.5,68.75,79.66667,72.4375,FAIL
224,62.33333,80.5,65.91667,84.25,73.25,FAIL
225,76.91667,51.91667,63.75,58.91667,62.8750025,FAIL
226,88.25,71.75,88.66667,80.75,82.3541675,PASS
227,61.33333,59.41667,84.08333,55.25,65.0208325,FAIL
228,88,58.41667,62.58333,90.5,74.875,FAIL
229,80.75,60.75,62.5,81.16667,71.2916675,FAIL
230,50.25,70.66667,84.41667,81.41667,71.6875025,FAIL
231,72.16667,76.75,55.5,68.16667,68.145835,FAIL
232,71.83333,85.33333,46.83333,76.91667,70.229165,FAIL
233,73.25,74.33333,64.33333,88.25,75.041665,PASS
234,65.5,80.08333,88.25,89.91667,80.9375,PASS
235,66.41667,63.75,53.58333,65.91667,62.4166675,FAIL
236,68.83333,84.91667,51.91667,63.41667,67.270835,FAIL
237,57.16667,51.83333,64.58333,57.25,57.7083325,FAIL
238,72.91667,78.25,89.83333,72,78.25,PASS
239,61.08333,81.58333,60.41667,61.08333,66.041665,FAIL
240,88.58333,60.41667,50.41667,62,65.3541675,FAIL
241,74.41667,55.75,92.41667,61.33333,70.9791675,FAIL
242,76.5,80.16667,56.25,62.5,68.8541675,FAIL
243,55.5,84.33333,82.91667,59.75,70.625,FAIL
244,88.66667,49.91667,47.75,78,66.083335,FAIL
245,72.5,65.08333,47.75,81.08333,66.604165,FAIL
246,82.25,52.83333,64.91667,79.66667,69.9166675,FAIL
247,53.91667,75.25,49.16667,63,60.333335,FAIL
248,81.58333,68.5,54.16667,90,73.5625,FAIL
249,64.83333,52.75,55.66667,71.08333,61.0833325,FAIL
250,48.58333,79.41667,71.75,65.83333,66.3958325,FAIL
251,61.75,51.75,57.58333,76.41667,61.875,FAIL
252,78.58333,88.75,68.83333,69.58333,76.4374975,PASS
253,48,83.25,55.33333,70.75,64.3333325,FAIL
254,68,59.75,81.75,88.33333,74.4583325,FAIL
255,84.25,72.25,65.91667,62.66667,71.270835,FAIL
256,66.66667,89.16667,56.25,94.25,76.583335,PASS
257,87.75,57.25,66.58333,91.91667,75.875,PASS
258,52.83333,61.75,61.58333,61.5,59.416665,FAIL
259,67.25,71,67.33333,88.41667,73.5,FAIL
260,86.41667,52.91667,71.08333,83.58333,73.5,FAIL
261,87.91667,68.58333,74.66667,62.58333,73.4375,FAIL
262,92.5,75.41667,77.66667,58.75,76.083335,PASS
263,70.58333,73.25,72,66.66667,70.625,FAIL
264,75.33333,60.08333,56.66667,54.66667,61.6875,FAIL
265,95.5,69.5,65.66667,65.41667,74.020835,FAIL
266,57,83.08333,49.25,74.41667,65.9375,FAIL
267,74.25,61.41667,74.16667,49.5,64.833335,FAIL
268,67.25,70.91667,57.75,78.08333,68.5,FAIL
269,80.33333,88.83333,65.16667,80.25,78.6458325,PASS
270,88.41667,88.41667,58.66667,59.41667,73.72917,FAIL
271,52.66667,76.16667,54.58333,51.33333,58.6875,FAIL
272,88.25,84.5,59.75,84.41667,79.2291675,PASS
273,64.33333,71.91667,65.5,61.33333,65.7708325,FAIL
274,77,57.83333,84.41667,76.75,74,FAIL
275,83.33333,57.58333,60.33333,57.41667,64.666665,FAIL
276,85.25,63.08333,80.58333,47.41667,69.0833325,FAIL
277,82.75,89.75,66.66667,85.25,81.1041675,PASS
278,72.33333,87.5,83.58333,89.66667,83.2708325,PASS
279,88.16667,68.66667,90.5,75.83333,80.7916675,PASS
280,80.08333,67.5,76.58333,86.25,77.604165,PASS
281,83.91667,69.41667,73.75,62,72.270835,FAIL
282,85.83333,69.66667,79.66667,61.33333,74.125,FAIL
283,55.5,78.08333,91.41667,74.58333,74.8958325,FAIL
284,78.75,81.25,57.25,83.91667,75.2916675,PASS
285,57.33333,89.91667,79,77,75.8125,PASS
286,85.83333,53.33333,61.08333,46,61.5624975,FAIL
287,78.41667,45.75,75.58333,79.25,69.75,FAIL
288,86.16667,64.66667,69,65.08333,71.2291675,FAIL
289,73.91667,52.08333,77.83333,76.91667,70.1875,FAIL
290,81,55,79.33333,50.66667,66.5,FAIL
291,88.66667,58.91667,61.33333,58.08333,66.75,FAIL
292,63.5,72.25,62.25,74.75,68.1875,FAIL
293,65.41667,57.5,74.83333,80.66667,69.6041675,FAIL
294,55.91667,66.25,71.16667,89.16667,70.6250025,FAIL
295,82.91667,57.41667,68.16667,78.25,71.6875025,FAIL
296,61.66667,48.91667,49.5,83,60.770835,FAIL
297,81.25,57.75,75.91667,69.16667,71.020835,FAIL
298,92.16667,73.91667,70.16667,64.5,75.1875025,PASS
299,53.33333,78.75,88.33333,57.41667,69.4583325,FAIL
300,60.58333,50.33333,76.41667,92.16667,69.875,FAIL
301,52.25,69.16667,71.5,82.91667,68.958335,FAIL
302,73.25,54.16667,71.33333,61.83333,65.1458325,FAIL
303,85.41667,83.5,65,64.25,74.5416675,FAIL
304,62.66667,49.08333,79,89.5,70.0625,FAIL
305,67.66667,62.83333,61.83333,71.16667,65.875,FAIL
306,50.91667,70.83333,76.08333,75.75,68.3958325,FAIL
307,64.83333,59.5,66.08333,63.75,63.541665,FAIL
308,62.25,90.66667,79,93.25,81.2916675,PASS
309,67.5,96.5,69.83333,62.33333,74.041665,FAIL
310,93,54.41667,86.5,77,77.7291675,PASS
311,86.58333,89.25,60.41667,56,73.0625,FAIL
312,74.41667,59.41667,70.91667,60.33333,66.270835,FAIL
313,61.16667,88.25,70.08333,80.58333,75.0208325,PASS
314,59.58333,85.33333,53.83333,84.83333,70.89583,FAIL
315,53.58333,76.58333,66.66667,95,72.9583325,FAIL
316,72.41667,53.66667,55.41667,85.41667,66.72917,FAIL
317,61.25,71,98.25,93.58333,81.0208325,PASS
318,86.83333,76.41667,79,81.75,81,PASS
319,51.25,72.91667,65,55.58333,61.1875,FAIL
320,65.33333,68.16667,88.25,80.91667,75.6666675,PASS
321,63.16667,80.83333,77.25,66.5,71.9375,FAIL
322,79,73,67.41667,53.58333,68.25,FAIL
323,84.33333,48.66667,83.75,72.91667,72.4166675,FAIL
324,79.33333,80.83333,51.16667,54.83333,66.541665,FAIL
325,82.75,83.66667,75.58333,60.75,75.6875,PASS
326,68.91667,51,76.83333,78.83333,68.8958325,FAIL
327,72.75,68.83333,73.83333,51.5,66.729165,FAIL
328,49.91667,76.83333,78.75,71.41667,69.2291675,FAIL
329,57.41667,76.33333,52.91667,71.91667,64.645835,FAIL
330,55.16667,54.33333,54.08333,61.75,56.3333325,FAIL
331,83.91667,74,92.83333,77.25,82,PASS
332,68.91667,87.33333,75.75,86.41667,79.6041675,PASS
333,64.91667,65.75,50.75,73.5,63.7291675,FAIL
334,55.41667,64.66667,58,64.33333,60.6041675,FAIL
335,66.66667,79.58333,61.58333,49.66667,64.375,FAIL
336,94.41667,53.16667,83.83333,80.66667,78.020835,PASS
337,86.83333,62.16667,87.66667,84.16667,80.208335,PASS
338,87.58333,61.08333,79.16667,84.16667,78,PASS
339,59.91667,81.08333,57.5,92.25,72.6875,FAIL
340,66.58333,91.33333,77.25,90.25,81.354165,PASS
341,61.83333,74.91667,73.33333,69.16667,69.8125,FAIL
342,50.08333,51.16667,54,59.83333,53.7708325,FAIL
343,88.58333,75,83.5,84.25,82.8333325,PASS
344,74.58333,69.16667,57.08333,83.83333,71.166665,FAIL
345,71.58333,84.33333,74.16667,73.16667,75.8125,PASS
346,67.83333,83.08333,69.58333,63.08333,70.89583,FAIL
347,46.83333,51.83333,79.58333,54.08333,58.08333,FAIL
348,59.33333,75.66667,51.25,78.25,66.125,FAIL
349,49.33333,77.16667,88.91667,77.75,73.2916675,FAIL
350,61.16667,80.66667,53.16667,83.5,69.6250025,FAIL
351,68.33333,58.66667,80.58333,77,71.1458325,FAIL
352,81.91667,83.58333,70.58333,77.58333,78.416665,PASS
353,89.75,77,94,72.33333,83.2708325,PASS
354,66.33333,76.08333,68.91667,81.08333,73.104165,FAIL
355,68.08333,62.75,60.41667,62,63.3125,FAIL
356,67.66667,69,69.33333,90,74,FAIL
357,86,67.75,71,69.66667,73.6041675,FAIL
358,51.33333,51.91667,76.91667,71.08333,62.8125,FAIL
359,67,79.58333,54.5,76,69.2708325,FAIL
360,58.5,68.33333,71.66667,50,62.125,FAIL
361,65.83333,54.16667,85.41667,86.08333,72.875,FAIL
362,81.16667,52.66667,70.58333,75.08333,69.875,FAIL
363,52.75,67.91667,53.41667,63.83333,59.4791675,FAIL
364,92,49.58333,76.5,50.08333,67.041665,FAIL
365,82.25,64.5,90.58333,75.16667,78.125,PASS
366,56.25,75.16667,57.41667,80.91667,67.4375025,FAIL
367,83,73.66667,88,92.91667,84.395835,PASS
368,51.5,74.91667,54.16667,71,62.895835,FAIL
369,85.75,77.66667,56.5,66.25,71.5416675,FAIL
370,73.08333,83.33333,80.41667,89.33333,81.541665,PASS
371,72.16667,81.25,59,75.08333,71.875,FAIL
372,79.91667,62.66667,75.91667,59.16667,69.41667,FAIL
373,63.41667,62.41667,62.25,62.16667,62.5625025,FAIL
374,88.75,65.41667,88.66667,56.58333,74.8541675,FAIL
375,53.58333,91.5,74.08333,86.33333,76.3749975,PASS
376,63.5,82.33333,59.66667,67.83333,68.3333325,FAIL
377,55.91667,56.58333,63.58333,67.58333,60.916665,FAIL
378,63.66667,83.25,60.25,85.25,73.1041675,FAIL
379,67.66667,95.25,47.75,87.41667,74.520835,FAIL
380,57.58333,83.41667,82.66667,76.33333,75,PASS
381,48,86.33333,77.41667,55.75,66.875,FAIL
382,74.16667,83.58333,91.5,56.25,76.375,PASS
383,57.41667,82.5,65.08333,60.83333,66.4583325,FAIL
384,63.16667,69.08333,71.08333,81.5,71.2083325,FAIL
385,90.25,71.91667,91.41667,85.5,84.770835,PASS
386,65.25,64.75,87.83333,60.33333,69.541665,FAIL
387,81.58333,70.66667,87.91667,66.41667,76.645835,PASS
388,55.33333,78.25,86.66667,58.91667,69.7916675,FAIL
389,65.58333,75.91667,56.08333,47.25,61.2083325,FAIL
390,73.08333,85.16667,68.66667,82,77.2291675,PASS
391,81.16667,74,53.41667,56.16667,66.1875025,FAIL
392,71.41667,67,81,80.91667,75.083335,PASS
393,75.16667,61.91667,61.25,90.75,72.270835,FAIL
394,54,60.66667,68.83333,85.58333,67.2708325,FAIL
395,61.08333,70.33333,47.5,60,59.729165,FAIL
396,89.5,63.91667,60.33333,48.5,65.5625,FAIL
397,83.91667,65,62.83333,65,69.1875,FAIL
398,61.91667,86.41667,55.91667,53,64.3125025,FAIL
399,60.58333,85.75,56.25,75.41667,69.5,FAIL
400,77.66667,55.16667,65,81.08333,69.7291675,FAIL
401,91.75,68.33333,86.16667,57.16667,75.8541675,PASS
402,86.08333,73.41667,89.58333,82,82.7708325,PASS
403,55.66667,87.83333,49.58333,61.5,63.6458325,FAIL
404,84.75,77,59.75,49.91667,67.8541675,FAIL
405,54.41667,50.5,77.66667,50.91667,58.3750025,FAIL
406,50.25,92.25,60.83333,67.16667,67.625,FAIL
407,83.58333,63.08333,58.25,54.08333,64.7499975,FAIL
408,75.83333,54.41667,79.25,81.08333,72.6458325,FAIL
409,82.25,72.25,61.16667,64.58333,70.0625,FAIL
410,82.25,64,58.75,58.25,65.8125,FAIL
411,76.91667,52.58333,58.58333,86.08333,68.541665,FAIL
412,67.41667,85.41667,80.66667,54.83333,72.083335,FAIL
413,60.08333,86.16667,75.91667,51.83333,68.5,FAIL
414,75.58333,85.41667,81.75,71.75,78.625,PASS
415,49.83333,58.58333,79,59.41667,61.7083325,FAIL
416,69.91667,71.5,76.41667,52.5,67.583335,FAIL
417,54.41667,86.91667,50.5,58.41667,62.5625025,FAIL
418,64.91667,72.58333,58.75,56.83333,63.2708325,FAIL
419,53.5,51.91667,78.5,80.16667,66.020835,FAIL
420,77,51.41667,68.5,90.33333,71.8125,FAIL
421,49.08333,85.25,64.41667,54.25,63.25,FAIL
422,83.66667,77,57,58.5,69.0416675,FAIL
423,55.83333,64.16667,49,53.25,55.5625,FAIL
424,61.75,68.91667,76.41667,90,74.270835,FAIL
425,86.91667,75.83333,87.75,69.58333,80.0208325,PASS
426,72,54.08333,70.58333,73.16667,67.4583325,FAIL
427,62.91667,63.33333,62.58333,80.16667,67.25,FAIL
428,65.41667,63.83333,65.41667,51.16667,61.458335,FAIL
429,72.75,62.58333,48.75,73.33333,64.354165,FAIL
430,55.66667,71.41667,87.83333,70.75,71.4166675,FAIL
431,56.08333,84.58333,68.5,64.33333,68.3749975,FAIL
432,72.41667,48.83333,76.08333,79.75,69.2708325,FAIL
433,89.16667,63.66667,88.33333,85.58333,81.6875,PASS
434,63.5,86.08333,53,61,65.8958325,FAIL
435,66.58333,87,72.91667,91.91667,79.6041675,PASS
436,77.83333,48.91667,61,59.58333,61.8333325,FAIL
437,56.66667,60.91667,53.25,87.25,64.520835,FAIL
438,68.41667,87.25,70.33333,73.16667,74.7916675,FAIL
439,51.25,52.5,50.33333,85.91667,60,FAIL
440,62.91667,79,72,58.16667,68.020835,FAIL
441,57,82.08333,76.83333,50.33333,66.5624975,FAIL
442,84.66667,61.25,74.16667,82.83333,75.7291675,PASS
443,78.25,61.5,86.16667,74.58333,75.125,PASS
444,83.66667,43,67.16667,68.33333,65.5416675,FAIL
445,56,57.66667,66.75,87.83333,67.0625,FAIL
446,72.16667,84.33333,79.91667,73.91667,77.583335,PASS
447,78.5,84.25,88.5,66.25,79.375,PASS
448,70,69.58333,56.58333,78.91667,68.7708325,FAIL
449,62,79.91667,69.33333,64.16667,68.8541675,FAIL
450,59.08333,76.33333,77.41667,58.66667,67.875,FAIL
451,89.16667,81.75,54.33333,58.83333,71.0208325,FAIL
452,77.41667,77.41667,76.33333,78.25,77.3541675,PASS
453,51.75,85,62.08333,88.25,71.7708325,FAIL
454,73,72.25,84.41667,59.83333,72.375,FAIL
455,70.58333,72.5,67.41667,67.08333,69.3958325,FAIL
456,68.25,79.33333,63.33333,84.91667,73.9583325,FAIL
457,59.75,75.41667,51.5,50.5,59.2916675,FAIL
458,84.16667,52.25,54,49.33333,59.9375,FAIL
459,77.58333,62.66667,54.08333,81.66667,69,FAIL
460,72.5,83.33333,88.66667,76.16667,80.1666675,PASS
461,68.66667,71,84.16667,95.25,79.770835,PASS
462,63.25,63.33333,70.41667,85.25,70.5625,FAIL
463,49.33333,86.58333,67.58333,72.66667,69.041665,FAIL
